GA_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
73,281.0937334,281.7228287,281.1754607,280.1452881,280.6406471,280.6346352,282.0746596,280.8695967,281.4873502,281.9265538,281.8744036,281.046829,280.8962623,281.7581257,280.9306321,280.725122,281.9915711,282.5807148,282.6041142,281.5994459,281.8082058,281.8274292,281.5677632,281.7782207,281.7099295,282.7372066,282.2079,281.2930678,281.8779467,281.580887,281.4716661,280.9889004,282.5108796,282.2521493,282.3003488,281.9288393,282.586715,281.9559701,282.2008808
79,279.5933611,279.8559189,279.6440785,279.0259777,279.5440217,279.5479823,280.3707123,279.635539,279.4451346,280.4514338,280.2781035,279.8605149,279.5170362,280.2016314,279.8640931,279.4485429,280.3232528,281.0810949,280.6726876,279.8637254,279.9943032,280.5784721,280.0752539,280.2574764,280.2327871,281.1231429,280.9618398,280.0115671,280.6585152,280.5102627,279.8507562,279.901842,281.3602285,280.5070109,281.0186646,280.949299,280.8787236,280.4428244,280.5555732
80,282.3228707,282.5588349,281.9439255,281.3458298,281.799173,282.1386147,282.958589,282.0720866,281.771355,282.7888253,282.7356937,282.222513,281.9118497,282.6994698,283.0751048,282.0508945,283.3220928,283.7671599,283.6417183,283.1806956,283.3672548,283.4553795,282.6779456,283.290662,283.2107257,283.9040176,283.6372454,282.7197307,283.4668026,283.107887,282.7298594,282.5814994,284.0793122,283.2450669,283.4994105,283.7907262,283.6416964,283.4668888,283.5183222
71,280.9465103,281.6897763,281.0162685,280.0112489,280.3718804,280.7475852,281.7443691,280.8989873,281.5721329,281.7560371,281.4616983,281.1093874,280.8780051,281.6116478,280.7821062,280.6941483,281.8315847,282.701479,282.5141392,281.4420326,281.8152911,281.9470175,281.3139139,281.6749424,281.6276214,282.5585554,282.4042093,281.4974613,282.0970528,281.7170652,281.5038471,280.843674,282.4408092,282.4350366,282.175612,282.1289561,282.8200651,282.028782,282.4186987
81,281.1889481,281.8814023,281.2991798,280.4530778,280.8230332,280.6448364,282.3053137,281.1494159,281.2206759,281.9143546,282.1486445,281.1296855,281.0855899,281.9195841,281.2825869,280.9429091,282.2853345,282.7695166,282.7870118,281.9376471,282.1440926,282.1216707,281.5761514,282.0582661,282.0492405,283.0334158,282.5561681,281.6166448,282.2166909,281.908904,281.5424598,281.1820398,282.7291652,282.2683218,282.5481258,282.3643733,282.6056759,282.3226646,282.3180199
78,284.8285364,284.9755344,284.6696343,284.0022318,284.6874047,285.0870959,285.4840012,284.7220363,284.5774792,285.2466098,285.4253972,284.9489156,284.4503292,285.6259719,286.0008002,285.054713,285.9582968,286.1165762,286.1158143,285.6405209,285.822992,286.3023568,285.338778,286.0060806,285.905076,286.5627773,286.1024404,285.3266545,285.7047275,285.5646927,285.2553478,285.2383968,286.8089242,285.9692053,286.1609521,286.7157325,286.2690098,285.7770242,285.8576363
88,281.8160982,282.1412737,281.6165549,280.9088502,281.3749091,281.6874467,282.325565,281.4776612,281.3633489,282.377133,282.2793179,281.8615078,281.4609146,282.2072155,282.585723,281.515875,282.8203993,283.1753159,283.0174511,282.3180605,282.5390607,282.8716236,281.9801316,282.6781241,282.6671572,283.3553941,283.1708757,282.1433158,282.9765914,282.6840321,282.1641669,281.9895391,283.6024365,282.6902723,282.9254335,283.1595071,283.1260257,282.7881601,283.0051881
77,281.4336366,282.1160372,281.487502,280.4830624,280.8204638,281.2367278,282.4666556,281.3642298,282.1144199,282.3275252,282.1297503,281.5804655,281.488577,282.1032882,281.1983416,281.0548513,282.2801966,283.1335693,282.9944273,281.8319599,282.3137911,282.3132134,281.779639,282.2205295,282.1320478,283.0455267,282.688563,281.8211268,282.4816942,282.1489561,281.9631712,281.2357888,282.7907772,282.8520945,282.6418618,282.5134869,283.229982,282.3438501,282.8270041
85,278.454147,279.3930282,278.7596038,277.7400134,278.0388356,278.5042824,279.3836623,278.5616678,279.2788481,279.2839675,279.1445409,278.8558725,278.6610539,279.5010503,278.6341934,278.3172714,279.6233812,280.3631228,280.2730243,279.058403,279.5968325,279.5496921,278.7495388,279.5041828,279.3514594,280.2841789,280.4809387,279.3183157,279.8896043,279.2300633,279.3866087,278.4770992,280.1143954,280.420431,280.1464707,279.9302339,280.6813057,279.8271291,280.1677996
72,277.9969564,278.9934085,278.2761341,277.2993292,277.5700188,278.0073285,279.0789129,278.1200216,278.8246935,279.0287928,278.6124825,278.4695912,278.1652524,279.1038535,278.2433437,277.8714015,279.1746672,279.8643059,279.6562931,278.6070484,279.0302893,279.2253591,278.4217051,278.9395418,278.6379713,279.7661337,279.8377635,278.8180152,279.3880894,278.7338302,278.6372512,277.9225371,279.6759425,279.735662,279.3862466,279.2649169,279.8865438,279.1455389,279.5938633
82,280.694636,281.3638489,280.7987336,279.751727,280.184893,280.5165464,281.8136001,280.6213757,281.4114374,281.692933,281.5492051,280.9358343,280.7626376,281.4705534,280.5349305,280.3580944,281.6385325,282.3408064,282.3026562,281.1651669,281.5602316,281.6568888,281.1457516,281.5304791,281.3968235,282.4185367,281.9851148,281.1081266,281.7770809,281.4331344,281.2546402,280.5357841,282.0345455,282.1119426,282.0467211,281.7765871,282.4482176,281.6171752,282.0186379
87,280.7588414,281.4733726,280.9118687,279.8094468,280.3289395,280.2380755,281.850158,280.5093568,280.8127641,281.4281924,281.7574771,280.7805858,280.7601346,281.49792,280.7459072,280.5311235,281.9025208,282.1722767,282.3367047,281.2784776,281.6001466,281.5991772,281.0628829,281.6145886,281.423113,282.5444481,282.0506088,281.0340588,281.611027,281.3701164,280.9709176,280.4743974,282.2338292,282.0315156,282.1823519,281.7362207,282.0934118,281.6409166,281.7712337
89,280.2927263,280.9921688,280.4264924,279.3668992,279.7846416,280.2151126,281.237356,280.3014846,281.0765014,281.0901025,281.066091,280.4002952,280.3589184,281.1056924,280.1692057,280.1721346,281.2278257,282.0128421,282.0664044,280.7069541,281.3469382,281.1843813,280.4706838,281.2599753,281.2091806,282.0744365,281.9952106,280.950575,281.555332,281.1714406,281.0956206,280.1444429,281.7242938,282.0428952,281.8793634,281.7205494,282.4579547,281.5893527,281.8896508
90,280.45317,281.0950105,280.5587389,279.3422482,279.9654585,280.0083596,281.368747,280.0285864,280.3610406,281.0353239,281.3642745,280.4622512,280.4732291,281.1447601,280.3645076,280.1146,281.4686917,281.7527985,282.081776,280.9166615,281.2718505,281.2044176,280.6620232,281.2262333,281.0109759,282.247939,281.6845745,280.7351193,281.181693,281.0984757,280.7531857,280.2139579,281.7602294,281.7103946,281.8675882,281.3512887,281.7930254,281.228096,281.4355156
84,280.1351098,280.7798866,280.2189335,279.1210679,279.6705677,279.7510117,281.0991942,279.8692294,280.4580424,280.9467553,280.9849386,280.2845908,280.1322989,280.8653013,279.9756546,279.8026033,281.1144515,281.6367143,281.7203532,280.6066085,280.9117611,281.0004736,280.5552874,280.898734,280.7205714,281.8409306,281.3722716,280.4756519,281.0122227,280.7687233,280.5810336,279.9588777,281.502447,281.4097882,281.5088508,281.069727,281.6843778,281.0137658,281.2615803
93,285.9935123,286.2226187,285.791158,285.2845697,285.8254232,286.1834847,286.6064642,286.0298912,285.8536013,286.4505083,286.6630878,286.0912155,285.5616585,286.7432633,287.0948001,286.100085,287.2206923,287.3228279,287.2758999,286.830587,287.0100062,287.5595675,286.5347467,287.11153,287.0405427,287.7395198,287.2842241,286.3188577,286.8804464,286.8176287,286.3953718,286.4001186,287.9918564,287.1173812,287.2522181,287.7842616,287.3496494,287.0008153,287.1080964
83,280.5738198,281.0213115,280.5051915,279.7150012,280.1305656,280.034973,281.3460168,280.4281445,280.2003267,281.0275667,281.1830581,280.4333386,280.2979156,281.112345,280.9478687,280.2982988,281.5083615,282.057461,282.0444801,281.2919356,281.567365,281.5044182,280.8101,281.436533,281.3499948,282.1565059,281.9479054,281.058726,281.6424792,281.3226032,280.8426795,280.6663612,282.1053079,281.4121508,281.7174122,281.7918239,281.8627302,281.6234386,281.802656
97,276.4182041,277.4012172,276.9265077,275.8278724,276.0016861,276.6360022,277.6657919,276.78503,277.5351733,277.5931972,277.3670345,276.7986423,276.640654,277.8755322,277.0089841,276.5589536,277.887612,278.5161741,278.5074887,277.2149357,277.6774399,277.7582217,276.7128033,277.5839885,277.3688701,278.450138,278.7443335,277.5567469,278.1262632,277.4922846,277.4288512,276.2371886,278.1163481,278.6121954,278.1700839,278.0906078,278.806062,278.0719106,278.3535104
95,282.3435189,282.6599848,282.2143467,281.4577418,281.920028,282.3427651,282.8149262,281.9731786,281.7474133,282.9030622,282.7146904,282.3451816,281.9686067,282.779794,283.1672463,281.9975435,283.3251458,283.5833654,283.4806916,282.7841712,282.9898308,283.4966192,282.4602766,283.2418288,283.1948628,283.9284851,283.7109292,282.6612983,283.4919286,283.2918425,282.7320884,282.5447939,284.1067975,283.226015,283.4366434,283.7421257,283.7144876,283.3418501,283.5589991
94,281.9438638,282.2897689,281.6763546,280.964841,281.4212607,281.5945618,282.4584476,281.6289525,281.6814039,282.3828688,282.3254475,281.874277,281.5429029,282.2770786,282.5895155,281.6475333,282.9696373,283.2545614,283.2752338,282.7927037,282.8278665,283.0514675,282.214828,282.7926991,282.8104243,283.4687704,283.2973625,282.3367234,283.1424599,282.8219163,282.3393621,282.0995837,283.6233186,282.8019366,283.1551457,283.2578129,283.3651763,282.9441518,283.2764878
92,281.3039348,282.0352854,281.4677743,280.473009,280.9222725,280.8324507,282.3843615,281.1771844,281.3469827,281.9703978,282.2956845,281.3206194,281.2372608,282.1082175,281.4385738,281.1497386,282.5230299,282.8795811,283.0334503,282.0445277,282.3102675,282.2251822,281.6572189,282.3058208,282.1644582,283.2081078,282.7105337,281.7388359,282.2778827,282.0122437,281.6274514,281.1935325,282.7662502,282.6376459,282.8241172,282.4279516,282.7212778,282.3799478,282.5682079
98,279.4440944,280.1426848,279.5997682,278.4525412,278.9664006,279.2455382,280.4352612,279.1611031,279.8235803,280.2393066,280.359989,279.7259156,279.5491244,280.3551343,279.4448846,279.2400546,280.5408913,280.8693812,281.2119588,280.0404553,280.4059115,280.4080015,279.6983485,280.3590245,280.0421204,281.2468204,280.9094933,279.9857209,280.5064913,280.2782464,280.0388538,279.2961694,280.8334278,280.9206989,280.9843322,280.5446179,281.1026239,280.4769168,280.8065201
99,281.7437656,282.3090472,281.7565406,280.9334006,281.420119,281.2850462,282.6484363,281.6329271,281.6370521,282.3007086,282.3779493,281.7106976,281.3841374,282.528718,282.2129896,281.5626772,282.952842,283.3717017,283.4785179,282.5341403,282.7890202,282.8075236,282.0599847,282.7581112,282.7158197,283.593529,283.2498301,282.2673415,282.8949665,282.5923226,282.1311336,281.7953384,283.3523855,282.8610145,283.2104112,283.0273289,283.2568568,282.9962965,283.2463489
101,283.5080872,283.8350885,283.2716597,282.5681548,283.0607398,283.5325036,284.0672396,283.2433808,283.1551441,284.1188645,283.8823863,283.4394618,283.1064186,284.0167615,284.3909457,283.2207784,284.611041,284.713429,284.7888584,284.2210626,284.3860122,284.8817223,283.6943489,284.4310182,284.4724157,285.246807,284.8905442,283.9052235,284.6666922,284.5355388,283.9530824,283.8569502,285.3171786,284.4879196,284.7471504,285.0050235,284.9662527,284.7123822,284.9292406
