GA_ID,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
73,3.22E+08,2.26E+08,2.30E+08,2.21E+08,2.12E+08,2.16E+08,2.17E+08,2.31E+08,2.42E+08,2.48E+08,2.66E+08,2.74E+08,2.74E+08,3.17E+08,3.23E+08,3.15E+08,2.86E+08,2.70E+08,2.52E+08,2.35E+08,2.28E+08,2.33E+08,2.33E+08,2.39E+08,2.28E+08,2.07E+08,1.84E+08,1.81E+08,1.83E+08,1.88E+08,2.25E+08,2.70E+08,3.77E+08
79,1435040.122,1414976.97,1213889.67,1166314.202,1280345.584,1253555.804,1266882.964,1561763.997,1709199.424,1984015.714,1682362.429,1219892.721,1280212.147,1219877.331,1447819.412,1917051.366,1635399.592,2265488.739,2875627.033,1937269.989,1307148.339,1199909.699,683718.9653,603304.0049,569747.2896,764220.4937,1354145.118,3941504.42,4176175.746,5154822.345,5288845.257,5349183.449,6227289.257
80,1702627.759,580383.9459,437955.8848,345777.2642,1392427.189,1789903.549,1361985.01,2010034.396,553656.7778,1903408.034,2382680.033,3188540.068,2807643.026,3252881.983,3662917.586,8950474.705,2479240.183,1110451.403,2078705.826,4009795.611,1.24E+07,7211190.515,7865095.268,2750118.74,1570748.736,820900.2969,9408659.268,4.62E+07,3.12E+07,6609713.053,7132971.883,8538943.409,3.89E+07
71,9.44E+08,1.00E+09,9.39E+08,8.94E+08,7.84E+08,7.24E+08,6.60E+08,6.72E+08,6.88E+08,6.99E+08,7.32E+08,7.25E+08,7.34E+08,7.51E+08,7.75E+08,8.02E+08,8.59E+08,8.36E+08,8.14E+08,7.62E+08,7.23E+08,7.08E+08,7.17E+08,7.08E+08,7.16E+08,6.98E+08,6.67E+08,6.41E+08,6.72E+08,6.70E+08,7.54E+08,7.49E+08,8.86E+08
81,1.33E+09,1.21E+09,1.25E+09,1.24E+09,1.26E+09,1.29E+09,1.27E+09,1.33E+09,1.34E+09,1.32E+09,1.12E+09,1.10E+09,1.05E+09,8.65E+08,8.29E+08,7.77E+08,6.49E+08,6.11E+08,6.20E+08,6.06E+08,5.74E+08,5.91E+08,5.48E+08,5.38E+08,5.26E+08,5.13E+08,4.97E+08,5.13E+08,5.25E+08,5.23E+08,5.00E+08,4.86E+08,5.50E+08
78,413643.8184,173457.0811,13323.4668,33339.05127,19969.98828,19969.98828,19969.98828,13328.28516,13328.15869,26669.32129,13309.66357,39948.91553,19966.36865,0,19969.98828,46774.44482,6651.624023,0,0,26672.34473,66710.00195,66710.00195,78526.30363,85177.92765,85177.92765,78526.30363,53366.14404,60037.8291,80059.00879,86730.65283,113407.9116,180100.6885,266973.7314
88,19849.76758,13234.01416,131916.5771,6618.067871,46235.62939,39615.36377,33036.76807,92326.00293,19743.78076,39644.79688,19827.13428,32818.07666,26379.40088,67078.7174,119370.8219,859702.0726,85493.22998,59273.63135,0,40673.24089,60134.90984,66807.05535,100294.6084,137365.042,52910.58691,19842.30615,2744734.132,1.38E+07,1.12E+07,936015.3091,213636.609,226808.0959,1434625.495
77,5.86E+09,5.78E+09,5.82E+09,5.77E+09,5.52E+09,5.48E+09,5.43E+09,5.53E+09,5.64E+09,5.63E+09,5.65E+09,5.57E+09,5.50E+09,5.42E+09,5.46E+09,5.53E+09,5.83E+09,5.98E+09,5.98E+09,5.89E+09,5.78E+09,5.78E+09,5.74E+09,5.72E+09,5.78E+09,5.69E+09,5.67E+09,5.62E+09,5.66E+09,5.62E+09,5.60E+09,5.47E+09,5.56E+09
85,1.15E+08,7.87E+07,7.67E+07,7.42E+07,8.41E+07,8.40E+07,7.65E+07,6.83E+07,7.23E+07,7.69E+07,7.85E+07,8.46E+07,8.31E+07,1.01E+08,1.28E+08,1.58E+08,1.95E+08,2.35E+08,2.55E+08,2.38E+08,2.21E+08,2.37E+08,2.47E+08,2.51E+08,2.49E+08,2.54E+08,2.53E+08,2.65E+08,2.76E+08,3.06E+08,2.95E+08,3.50E+08,5.35E+08
72,9.73E+08,8.22E+08,8.82E+08,7.12E+08,6.69E+08,6.82E+08,6.04E+08,5.02E+08,4.62E+08,5.33E+08,4.23E+08,4.34E+08,5.40E+08,4.99E+08,6.19E+08,7.99E+08,9.16E+08,9.30E+08,1.00E+09,7.29E+08,6.54E+08,7.84E+08,8.21E+08,9.06E+08,1.12E+09,1.07E+09,1.22E+09,1.39E+09,1.38E+09,1.30E+09,1.31E+09,1.26E+09,1.31E+09
82,9.00E+08,8.33E+08,8.77E+08,9.01E+08,1.00E+09,1.07E+09,1.08E+09,1.17E+09,1.20E+09,1.19E+09,1.15E+09,1.13E+09,1.07E+09,9.54E+08,9.66E+08,9.83E+08,1.09E+09,1.14E+09,1.15E+09,1.04E+09,9.59E+08,9.53E+08,8.83E+08,8.81E+08,8.82E+08,9.21E+08,9.34E+08,9.79E+08,9.48E+08,9.30E+08,9.28E+08,8.83E+08,1.06E+09
87,4.10E+08,3.79E+08,4.00E+08,4.18E+08,4.11E+08,4.52E+08,4.58E+08,5.54E+08,5.73E+08,5.56E+08,4.98E+08,4.97E+08,4.86E+08,4.46E+08,4.46E+08,4.34E+08,4.19E+08,4.02E+08,3.99E+08,3.79E+08,3.64E+08,3.46E+08,3.41E+08,3.20E+08,3.10E+08,3.06E+08,2.94E+08,2.76E+08,2.80E+08,2.72E+08,2.86E+08,3.10E+08,3.75E+08
89,2.04E+09,2.08E+09,2.04E+09,2.00E+09,1.80E+09,1.84E+09,1.77E+09,1.86E+09,1.93E+09,1.99E+09,2.02E+09,2.01E+09,2.07E+09,2.13E+09,2.21E+09,2.17E+09,2.11E+09,2.04E+09,1.97E+09,1.88E+09,1.79E+09,1.74E+09,1.61E+09,1.52E+09,1.42E+09,1.33E+09,1.17E+09,1.16E+09,1.22E+09,1.33E+09,1.52E+09,1.59E+09,1.94E+09
90,1.09E+09,1.06E+09,1.15E+09,1.21E+09,1.21E+09,1.30E+09,1.30E+09,1.45E+09,1.45E+09,1.40E+09,1.28E+09,1.29E+09,1.26E+09,1.20E+09,1.20E+09,1.15E+09,1.08E+09,1.02E+09,9.68E+08,8.32E+08,8.03E+08,7.49E+08,7.32E+08,6.71E+08,6.46E+08,6.45E+08,6.37E+08,6.18E+08,6.42E+08,6.50E+08,6.61E+08,6.87E+08,7.50E+08
84,6.92E+08,6.69E+08,7.95E+08,8.51E+08,8.85E+08,9.78E+08,9.61E+08,1.15E+09,1.19E+09,1.20E+09,1.06E+09,1.06E+09,1.00E+09,8.70E+08,8.83E+08,8.66E+08,8.63E+08,8.20E+08,7.74E+08,6.16E+08,6.03E+08,5.71E+08,5.44E+08,5.27E+08,4.86E+08,4.19E+08,3.91E+08,3.20E+08,3.19E+08,3.18E+08,3.60E+08,3.92E+08,4.78E+08
93,2613734.433,1243731.699,1016576.898,742414.2188,488146.4033,394596.8042,113613.0947,73475.34912,100145.1743,60079.75928,227357.6299,327681.3408,448036.5156,541766.4443,648783.7603,635254.3638,474704.6563,166607.4004,213417.2681,133386.6245,100015.9302,66629.4834,68122.58065,454772.38,788026.5699,1188029.399,986836.2119,1067958.288,1188176.093,1201488.44,894626.5669,821421.8838,1295321.955
83,1.61E+08,9.38E+07,1.24E+08,1.78E+08,9.23E+08,1.01E+09,9.99E+08,6.57E+08,3.79E+08,2.42E+08,1.89E+08,2.50E+08,2.77E+08,3.32E+08,3.04E+08,2.59E+08,2.13E+07,5997731.055,2762873.376,8077562.405,1.56E+07,1.66E+07,2.01E+07,2365348.263,2087554.147,1387915.499,3.72E+07,3.36E+08,8.96E+07,6674413.962,5426539.656,9825282.154,3.50E+07
97,4.81E+07,4.33E+07,1.58E+07,1.78E+07,2.21E+07,2.78E+07,2.70E+07,3.83E+07,4.81E+07,4.65E+07,2.16E+07,2.58E+07,2.08E+07,1.71E+07,1.96E+07,2.25E+07,2.87E+07,3.40E+07,3.92E+07,4.91E+07,5.62E+07,7.09E+07,7.14E+07,1.08E+08,9.40E+07,6.50E+07,5.64E+07,5.82E+07,6.92E+07,8.27E+07,1.77E+08,3.34E+08,5.10E+08
95,6620.830078,0,178171.6294,6622.627441,0,0,0,19783.62939,0,0,0,46316.93652,6604.09082,0,0,178445.9224,26481.13672,26482.48486,0,0,0,0,0,13234.84521,26467.82373,26480.23779,204842.2085,1809153.2,541578.0151,66081.33789,118984.9702,145273.3535,1149844.392
94,39019.27295,6503.445313,12988.82471,6498.981934,6498.981934,19490.67627,6491.974609,77967.7207,26005.20654,25983.51563,65036.80762,91059.83643,39008.43506,25994.25098,33323.7164,85365.52353,32481.62744,0,0,13015.4834,71495.94043,26035.76221,6520.776855,39080.22949,19533.1709,0,92033.18466,890002.8379,214916.9084,76596.63349,52203.89551,52231.06787,91253.58301
92,6.26E+08,5.93E+08,6.99E+08,7.53E+08,7.92E+08,8.24E+08,7.67E+08,7.36E+08,7.29E+08,6.13E+08,4.32E+08,3.98E+08,3.37E+08,2.77E+08,2.75E+08,2.56E+08,2.27E+08,2.17E+08,2.11E+08,1.95E+08,1.53E+08,1.40E+08,1.14E+08,1.03E+08,8.96E+07,9.06E+07,9.00E+07,1.11E+08,1.26E+08,1.35E+08,1.44E+08,1.61E+08,2.48E+08
98,3.78E+08,3.07E+08,3.01E+08,2.81E+08,2.52E+08,3.04E+08,2.82E+08,3.78E+08,4.23E+08,4.49E+08,3.59E+08,3.47E+08,2.89E+08,1.98E+08,1.86E+08,1.69E+08,1.49E+08,1.29E+08,1.03E+08,7.70E+07,7.43E+07,7.08E+07,6.48E+07,7.35E+07,5.41E+07,3.90E+07,3.54E+07,3.72E+07,5.12E+07,6.24E+07,7.92E+07,1.08E+08,2.78E+08
99,5.19E+07,4.41E+07,3.91E+07,3.81E+07,4.30E+07,4.84E+07,6.59E+07,8.84E+07,1.26E+08,1.70E+08,1.79E+08,1.41E+08,9.35E+07,4.33E+07,3.25E+07,2.53E+07,1.53E+07,8570150.353,5563889.887,2107115.833,4925553.814,5047903.966,1.74E+07,3.00E+07,2.48E+07,5734753.667,3559963.034,5911425.35,4972544.206,3315087.841,1.46E+07,2.65E+07,9.19E+07
101,296603.1963,145427.8896,112407.3335,119176.0889,132417.2139,119279.8228,112654.437,145752.1973,158849.478,191447.5063,177903.5981,125359.1421,92597.91309,152136.8745,202043.6536,258627.1866,257940.9609,191619.7598,118797.8311,32927.56543,85411.95459,65735.04834,98570.21875,322293.752,289132.9463,112253.0596,171584.0962,355821.168,922335.4985,923091.4372,1894797.65,2085505.898,3139303.665
