GA_ID,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
73,44012.41943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25182.49756,18886.80273,12591.24902,18886.80273,0,0,50326.98242,0,0,18886.52051,0,0,0,0,0
79,1.61E+09,1.62E+09,1.62E+09,1.62E+09,1.61E+09,1.62E+09,1.63E+09,1.63E+09,1.63E+09,1.62E+09,1.62E+09,1.62E+09,1.62E+09,1.62E+09,1.63E+09,1.64E+09,1.66E+09,1.66E+09,1.66E+09,1.65E+09,1.65E+09,1.65E+09,1.64E+09,1.65E+09,1.65E+09,1.66E+09,1.66E+09,1.66E+09,1.66E+09,1.66E+09,1.66E+09,1.66E+09,1.65E+09
80,1.18E+09,1.17E+09,1.42E+09,1.16E+09,8.21E+08,7.51E+08,6.71E+08,5.74E+08,5.53E+08,5.02E+08,5.00E+08,2.44E+08,1.85E+08,2.16E+08,2.49E+08,1.78E+08,2.23E+08,2.84E+08,3.35E+08,5.69E+08,6.91E+08,8.29E+08,9.94E+08,1.49E+09,1.79E+09,1.96E+09,2.12E+09,2.02E+09,1.51E+09,1.37E+09,1.21E+09,1.19E+09,1.07E+09
71,2102234.136,463946.6502,194791.7269,91313.4705,24388.84131,18291.53857,508933.8286,1351250.683,1037904.851,1101788.637,291949.8604,48649.90967,6080.338867,40033.25342,67421.54951,143021.8192,139595.1371,145676.515,45814.13983,9207.723531,12272.70361,24545.18457,36731.25049,30484.38184,24396.77539,30501.68457,6080.413086,42666.0625,79150.46973,60832.77539,42568.75391,117193.2926,166621.2938
81,1491111.764,844760.1577,836774.3945,737703.6885,520309.0254,76846.20361,39882.68952,306728.9208,318742.276,308324.5106,135946.4971,8008.85644,0,115294.6982,192172.5352,166532.0986,345874.2441,936770.5308,1517965.625,1665257.274,1889525.235,1902399.72,1793515.188,1697512.394,2243168.687,1028412.649,1289809.702,1512032.488,1657029.037,1446825.188,1472684.903,1478894.92,1372510.09
78,2.26E+08,2.71E+08,2.91E+08,3.17E+08,3.10E+08,3.23E+08,3.12E+08,3.14E+08,3.00E+08,2.92E+08,2.90E+08,2.69E+08,2.49E+08,2.51E+08,2.71E+08,2.74E+08,2.77E+08,2.83E+08,2.81E+08,2.83E+08,2.74E+08,2.57E+08,2.90E+08,2.86E+08,2.78E+08,2.85E+08,3.11E+08,3.01E+08,3.21E+08,3.58E+08,3.94E+08,3.95E+08,4.09E+08
88,3.98E+09,4.02E+09,4.07E+09,4.03E+09,3.92E+09,3.97E+09,3.98E+09,3.87E+09,3.85E+09,3.76E+09,3.90E+09,3.88E+09,3.79E+09,3.77E+09,3.81E+09,3.58E+09,3.42E+09,3.62E+09,3.57E+09,3.63E+09,3.77E+09,3.91E+09,4.16E+09,4.24E+09,4.28E+09,4.29E+09,4.29E+09,4.21E+09,4.05E+09,3.99E+09,3.97E+09,4.00E+09,4.01E+09
77,155817.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6170.255859,0,0,0,0,12273.58398,6136.755371,6136.755371,0,0,12323.19141
85,467713.9702,425231.1646,352343.082,273344.2905,115413.0503,66824.16504,322038.3574,1085565.45,1055123.7,1140187.5,799931.4346,48640.10938,24269.86572,60725.54541,164017.8999,200513.1572,230912.6079,237026.8594,6081.748535,6075.660645,6075.660645,54681.2373,164043.936,200518.0137,176208.2529,376662.3086,1502101.108,2522781.56,2976817.446,2891693.022,1494512.882,923431.8438,577054.8652
72,1.20E+07,6480055.31,3618974.72,1461111.387,594325.5125,387029.7791,1.23E+07,4.34E+07,3.22E+07,3.39E+07,1.06E+07,4292773.773,2216045.416,1528505.585,2162270.938,6781077.185,7088879.984,7211076.039,681030.3557,45585.94228,54728.88135,133841.7676,225321.4341,225408.3936,231549.0244,219540.7388,262029.4458,499828.8672,913831.5493,675424.6455,322566.1348,954062.4655,961539.6435
82,30962.72021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18604.70752,0,0,0,0,0,0,0,0
87,12616.93555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6314.049316,0,0,0,0,0,44155.58252,0,0,0,6305.691406,0,0,0,0
89,1.16E+07,1.15E+07,1.07E+07,4515380.031,1628334.518,1718494.066,1803318.436,2409981.953,2195961.292,2332527.307,2219957.369,985750.2101,668146.5114,325233.3956,652070.5164,1145647.438,1303668.685,1490169.059,799397.7782,1696350.303,1742998.788,2357897.937,3041947.388,2971172.196,3993897.671,4255060.37,9159105.581,1.28E+07,1.31E+07,1.10E+07,8325427.957,7361225.795,5571767.085
90,62899.16504,0,0,0,0,0,6309.135254,6285.389648,0,0,0,0,0,0,0,0,0,0,0,0,6299.78125,6299.78125,12586.23096,0,125790.4497,0,18918.55078,25218.33203,126003.7783,88193.50488,0,0,0
84,131066.353,0,6267.04248,0,0,0,0,99763.59766,112264.7397,93540.77393,93560.65723,0,0,0,6255.808105,0,0,0,6255.808105,6255.808105,7652.954791,25014.68506,51597.83126,18758.87695,219412.6968,0,0,6244.328125,68702.73193,6244.328125,0,6222.849121,0
93,1.58E+08,2.10E+08,2.43E+08,2.85E+08,2.40E+08,2.92E+08,3.20E+08,3.48E+08,3.66E+08,3.68E+08,3.78E+08,3.69E+08,3.16E+08,2.79E+08,2.63E+08,2.54E+08,2.32E+08,2.29E+08,2.32E+08,2.43E+08,2.53E+08,2.68E+08,3.34E+08,3.25E+08,3.07E+08,3.30E+08,3.60E+08,3.55E+08,3.73E+08,3.96E+08,4.43E+08,4.29E+08,4.63E+08
83,1.47E+09,1.48E+09,1.58E+09,1.33E+09,1.12E+09,1.02E+09,7.73E+08,6.51E+08,6.31E+08,4.74E+08,4.97E+08,3.90E+08,4.05E+08,4.42E+08,4.73E+08,4.10E+08,4.42E+08,6.63E+08,8.58E+08,1.02E+09,1.17E+09,1.33E+09,1.60E+09,1.91E+09,1.98E+09,2.37E+09,2.72E+09,2.79E+09,2.53E+09,2.25E+09,1.12E+09,1.05E+09,7.13E+08
97,9.38E+07,1.00E+08,1.06E+08,8.97E+07,6.78E+07,5.38E+07,2.93E+07,2.33E+07,2.16E+07,1.66E+07,2.05E+07,8681135.808,9291337.167,4457766.776,4345079.119,1791123.626,2492775.93,4118690.03,5843508.051,7840464.287,8231114.379,7247612.271,5379543.851,5405308.195,4853627.233,7257016.159,1.57E+07,3.06E+07,2.91E+07,3.55E+07,2.25E+07,2.92E+07,1407140.216
95,2.27E+09,2.33E+09,2.37E+09,2.39E+09,2.35E+09,2.40E+09,2.48E+09,2.60E+09,2.71E+09,2.75E+09,2.85E+09,2.86E+09,2.78E+09,2.74E+09,2.71E+09,2.48E+09,2.33E+09,2.38E+09,2.33E+09,2.33E+09,2.40E+09,2.44E+09,2.58E+09,2.62E+09,2.65E+09,2.69E+09,2.73E+09,2.74E+09,2.71E+09,2.68E+09,2.64E+09,2.61E+09,2.55E+09
94,3.29E+09,3.33E+09,3.33E+09,3.25E+09,3.14E+09,3.06E+09,3.05E+09,3.22E+09,3.33E+09,3.25E+09,3.44E+09,3.48E+09,3.28E+09,3.19E+09,3.24E+09,2.93E+09,2.73E+09,2.85E+09,2.80E+09,2.81E+09,2.95E+09,3.02E+09,3.20E+09,3.23E+09,3.27E+09,3.39E+09,3.50E+09,3.39E+09,3.30E+09,3.27E+09,3.24E+09,3.26E+09,3.21E+09
92,1339259.321,625275.6429,575738.1923,215623.7143,119777.8989,44703.30176,76592.27588,679173.2835,743110.3929,832513.1453,551338.9212,127793.3604,185368.9658,127891.8818,63929.03223,83108.19971,70311.37354,153225.3228,76605.38721,127793.9189,153131.355,235915.2119,477050.9395,439138.7422,482639.8169,280672.4565,1660758.046,2254973.785,2101038.273,1456305.624,1737749.256,1655133.224,1789316.58
98,715430.2964,0,18632.81738,18678.43018,18632.81738,12422.62207,18751.46436,12422.47803,6211.203125,43664.17285,12422.47803,0,0,56102.78369,56126.65186,106114.1772,236813.8574,274196.3403,672980.3438,473526.9224,540769.179,305404.9761,510025.7371,323998.4307,604448.8818,467208.2524,3747727.453,6683647.504,7606358.186,9241495.171,9059355.018,1.63E+07,4912600.236
99,1.84E+08,2.09E+08,2.26E+08,1.62E+08,7.45E+07,6.50E+07,5.28E+07,1.86E+08,1.83E+08,1.86E+08,1.87E+08,7.78E+07,5.22E+07,7.59E+07,8.73E+07,7.45E+07,7.91E+07,1.57E+08,2.47E+08,4.47E+08,5.81E+08,6.72E+08,9.46E+08,1.13E+09,1.28E+09,1.80E+09,2.35E+09,2.22E+09,1.88E+09,1.64E+09,9.31E+08,7.12E+08,5.42E+08
101,1.02E+09,1.02E+09,1.00E+09,8.50E+08,6.49E+08,5.47E+08,6.17E+08,1.01E+09,1.16E+09,1.38E+09,1.63E+09,1.60E+09,1.42E+09,1.40E+09,1.27E+09,8.87E+08,7.39E+08,6.48E+08,5.11E+08,5.69E+08,7.36E+08,7.56E+08,8.84E+08,8.72E+08,7.99E+08,9.74E+08,1.25E+09,1.17E+09,1.41E+09,1.46E+09,1.47E+09,1.27E+09,1.32E+09
100,6.01E+08,6.07E+08,5.88E+08,4.36E+08,3.31E+08,2.89E+08,2.69E+08,2.19E+08,2.07E+08,1.60E+08,1.72E+08,9.78E+07,1.02E+08,9.65E+07,1.14E+08,1.03E+08,1.12E+08,1.12E+08,7.82E+07,8.03E+07,1.05E+08,1.36E+08,1.97E+08,2.15E+08,2.40E+08,3.04E+08,3.97E+08,4.49E+08,4.23E+08,3.89E+08,2.86E+08,2.90E+08,1.57E+08
91,1.12E+09,1.21E+09,1.30E+09,1.10E+09,7.88E+08,6.67E+08,5.02E+08,4.79E+08,5.63E+08,4.68E+08,5.16E+08,3.94E+08,3.59E+08,3.51E+08,3.83E+08,3.28E+08,3.71E+08,5.84E+08,8.55E+08,1.06E+09,1.21E+09,1.36E+09,1.67E+09,1.94E+09,2.27E+09,2.57E+09,2.76E+09,2.45E+09,2.02E+09,1.74E+09,1.24E+09,1.18E+09,1.01E+09
107,3.36E+08,2.94E+08,2.84E+08,2.17E+08,1.59E+08,1.34E+08,1.68E+08,3.83E+08,4.43E+08,4.70E+08,4.35E+08,3.72E+08,3.17E+08,3.38E+08,3.30E+08,2.18E+08,2.02E+08,2.31E+08,2.04E+08,2.65E+08,3.47E+08,3.83E+08,4.89E+08,5.80E+08,5.21E+08,9.81E+08,1.44E+09,1.24E+09,1.21E+09,1.24E+09,8.31E+08,7.23E+08,6.79E+08
106,5.82E+09,5.89E+09,5.88E+09,5.71E+09,5.53E+09,5.38E+09,5.37E+09,5.61E+09,5.81E+09,5.88E+09,6.17E+09,6.33E+09,6.16E+09,6.07E+09,6.14E+09,5.82E+09,5.71E+09,5.73E+09,5.67E+09,5.72E+09,5.74E+09,5.69E+09,5.86E+09,5.91E+09,5.89E+09,6.30E+09,6.50E+09,6.48E+09,6.49E+09,6.47E+09,6.27E+09,6.17E+09,5.95E+09
104,1737793.409,1489325.362,1483884.017,1129002.42,249079.0213,99631.66702,73569.86279,566738.3185,590489.7476,646864.2925,364066.5182,192341.6066,6130.302246,18430.56104,12300.55225,36788.70313,30649.89697,24520.25488,24544.22175,91973.43806,240055.0446,469066.2206,705256.2496,681897.4855,1235857.785,2544331.634,4703627.246,5021506.854,4811723.314,3853664.969,1842005.422,1430619.509,1020797.649
102,1309232.131,156825.8531,132432.2632,88152.01416,56549.48486,31336.39307,68904.06543,604731.3285,717795.9476,585318.1219,470905.9893,75225.94629,56447.8667,100324.1274,56541.67578,31346.79297,18957.88184,50572.28174,516876.3335,736828.9121,1000720.821,1238532.595,1508548.463,996326.6918,1385838.293,1472440.349,3022333.974,4571089.698,7497181.167,9845835.665,1.54E+07,1.84E+07,1.77E+07
96,6.96E+09,6.92E+09,7.07E+09,7.02E+09,7.03E+09,7.14E+09,7.25E+09,7.31E+09,7.41E+09,7.38E+09,7.49E+09,7.51E+09,7.42E+09,7.38E+09,7.39E+09,7.29E+09,7.14E+09,7.15E+09,7.11E+09,7.13E+09,7.15E+09,7.22E+09,7.34E+09,7.40E+09,7.47E+09,7.54E+09,7.62E+09,7.64E+09,7.62E+09,7.62E+09,7.65E+09,7.62E+09,7.56E+09
105,1.60E+07,1.89E+07,2.06E+07,2.24E+07,1.63E+07,1.54E+07,1.63E+07,2.29E+07,2.65E+07,3.06E+07,3.91E+07,4.14E+07,3.63E+07,3.62E+07,4.12E+07,3.94E+07,4.52E+07,4.59E+07,3.97E+07,3.44E+07,2.80E+07,2.35E+07,2.72E+07,3.92E+07,3.12E+07,5.06E+07,5.75E+07,6.00E+07,5.08E+07,5.02E+07,3.95E+07,3.58E+07,3.38E+07
109,1704879.148,1433765.911,1581082.654,1404808.537,627410.144,775812.7206,927044.1519,1.61E+07,1.85E+07,1.84E+07,9803451.887,613870.3989,375264.5825,804501.3843,823335.2476,898672.4038,1100079.474,1876631.869,7765200.608,2.47E+07,2.59E+07,2.16E+07,1.87E+07,1.06E+07,1.27E+07,4.40E+07,1.09E+08,1.38E+08,1.69E+08,1.83E+08,1.76E+08,1.97E+08,1.81E+08
103,6297683.15,1864812.397,1768657.99,1533435.724,1717914.365,1111027.406,2005693.478,1.59E+07,1.69E+07,1.70E+07,8608476.382,264041.2817,76078.21924,237733.8654,212455.0866,351932.217,73765.76139,57247.03613,225928.5764,1715788.467,1836266.868,2045788.573,2453395.833,7020677.703,1.10E+07,4.34E+07,1.03E+08,1.17E+08,1.16E+08,1.28E+08,1.08E+08,1.13E+08,1.33E+08
113,757633.8867,199307.1494,256555.3834,362533.3946,155614.9971,163211.814,217799.9746,4781323.605,5695592.419,5815606.172,3722189.311,578976.9087,460875.9414,845603.2773,708847.4038,820034.3979,627524.7524,584422.1377,896393.3228,1985103.419,2220382.532,2151364.829,1423990.158,1567361.88,2240208.178,1.62E+07,6.24E+07,7.93E+07,6.83E+07,8.40E+07,8.82E+07,9.47E+07,9.96E+07
