GA_ID,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
73,3.93E+09,4.03E+09,4.02E+09,4.03E+09,4.03E+09,4.02E+09,4.02E+09,4.01E+09,4.00E+09,4.00E+09,3.98E+09,3.98E+09,3.98E+09,3.93E+09,3.92E+09,3.93E+09,3.95E+09,3.97E+09,3.98E+09,4.00E+09,4.01E+09,4.01E+09,4.01E+09,4.01E+09,4.03E+09,4.05E+09,4.07E+09,4.07E+09,4.06E+09,4.04E+09,4.01E+09,3.97E+09,3.85E+09
79,1.08E+08,9.66E+07,1.01E+08,1.03E+08,1.03E+08,9.68E+07,9.24E+07,9.19E+07,9.08E+07,9.30E+07,9.46E+07,9.49E+07,9.67E+07,9.36E+07,8.69E+07,7.38E+07,5.82E+07,5.42E+07,5.56E+07,6.28E+07,6.91E+07,7.12E+07,7.24E+07,7.08E+07,6.57E+07,6.21E+07,5.90E+07,5.37E+07,5.29E+07,5.49E+07,5.31E+07,5.02E+07,5.54E+07
80,1.16E+09,1.54E+09,1.56E+09,1.76E+09,1.63E+09,1.63E+09,1.72E+09,1.76E+09,1.88E+09,2.05E+09,2.21E+09,2.13E+09,1.99E+09,1.73E+09,1.62E+09,1.49E+09,1.37E+09,1.06E+09,9.26E+08,9.09E+08,8.89E+08,9.27E+08,9.16E+08,8.32E+08,8.83E+08,8.87E+08,8.28E+08,8.51E+08,7.86E+08,7.21E+08,6.04E+08,8.02E+08,7.53E+08
71,1.46E+08,1.65E+08,1.76E+08,2.42E+08,3.29E+08,3.42E+08,3.60E+08,3.16E+08,3.22E+08,3.64E+08,3.73E+08,3.68E+08,3.76E+08,3.06E+08,2.46E+08,1.91E+08,1.62E+08,1.92E+08,2.23E+08,2.76E+08,2.55E+08,2.35E+08,2.07E+08,2.13E+08,2.02E+08,2.18E+08,2.26E+08,2.40E+08,2.33E+08,2.44E+08,2.20E+08,2.25E+08,2.15E+08
81,8.00E+09,8.16E+09,8.11E+09,8.15E+09,8.11E+09,8.12E+09,8.15E+09,8.08E+09,8.06E+09,8.06E+09,8.24E+09,8.25E+09,8.31E+09,8.49E+09,8.51E+09,8.53E+09,8.62E+09,8.66E+09,8.65E+09,8.71E+09,8.77E+09,8.77E+09,8.77E+09,8.65E+09,8.62E+09,8.59E+09,8.62E+09,8.52E+09,8.39E+09,8.24E+09,8.39E+09,8.46E+09,8.32E+09
78,1111712.719,1471891.08,1577271.814,1838381.677,704327.0284,701509.5389,1626384.966,1572752.379,1308574.995,1463063.053,1141573.19,458990.2805,354289.6158,329163.5793,222463.6364,189060.3244,59993.35205,163126.3685,229856.2249,240093.8232,212540.0186,105826.1485,46686.43506,233391.2856,26669.9585,13334.37842,260013.145,87234.13331,93891.4463,246760.209,426647.3984,631820.5827,866824.6079
88,7.15E+07,9.33E+07,8.89E+07,9.84E+07,6.77E+07,5.70E+07,5.62E+07,6.37E+07,6.22E+07,6.68E+07,6.13E+07,4.31E+07,3.56E+07,2.40E+07,1.69E+07,1.98E+07,2.36E+07,2.15E+07,1.95E+07,1.80E+07,1.59E+07,1.67E+07,2.23E+07,2.26E+07,2.30E+07,2.25E+07,2.81E+07,2.27E+07,2.25E+07,2.30E+07,2.02E+07,2.25E+07,2.67E+07
77,1.68E+09,1.79E+09,1.75E+09,1.81E+09,2.07E+09,2.10E+09,2.14E+09,2.03E+09,1.92E+09,1.92E+09,1.90E+09,1.98E+09,2.05E+09,2.14E+09,2.08E+09,2.01E+09,1.74E+09,1.58E+09,1.58E+09,1.67E+09,1.78E+09,1.76E+09,1.78E+09,1.80E+09,1.74E+09,1.80E+09,1.80E+09,1.81E+09,1.76E+09,1.79E+09,1.81E+09,1.92E+09,1.85E+09
85,2.92E+09,2.97E+09,2.97E+09,2.98E+09,2.97E+09,2.96E+09,2.97E+09,2.97E+09,2.98E+09,2.99E+09,2.99E+09,2.99E+09,3.01E+09,2.98E+09,2.94E+09,2.91E+09,2.87E+09,2.86E+09,2.87E+09,2.93E+09,2.94E+09,2.92E+09,2.89E+09,2.88E+09,2.89E+09,2.91E+09,2.92E+09,2.90E+09,2.87E+09,2.83E+09,2.85E+09,2.81E+09,2.59E+09
72,4.56E+09,4.74E+09,4.69E+09,4.88E+09,4.93E+09,4.91E+09,4.95E+09,5.00E+09,5.08E+09,5.02E+09,5.09E+09,5.11E+09,5.06E+09,5.03E+09,4.90E+09,4.77E+09,4.63E+09,4.63E+09,4.61E+09,4.92E+09,5.00E+09,4.87E+09,4.82E+09,4.74E+09,4.52E+09,4.57E+09,4.43E+09,4.26E+09,4.28E+09,4.36E+09,4.34E+09,4.40E+09,4.28E+09
82,4.82E+09,4.92E+09,4.88E+09,4.85E+09,4.75E+09,4.68E+09,4.66E+09,4.57E+09,4.52E+09,4.54E+09,4.58E+09,4.61E+09,4.67E+09,4.78E+09,4.77E+09,4.75E+09,4.65E+09,4.60E+09,4.59E+09,4.71E+09,4.79E+09,4.80E+09,4.87E+09,4.86E+09,4.86E+09,4.81E+09,4.80E+09,4.76E+09,4.78E+09,4.78E+09,4.81E+09,4.85E+09,4.66E+09
87,1.52E+09,1.56E+09,1.54E+09,1.51E+09,1.50E+09,1.47E+09,1.47E+09,1.39E+09,1.37E+09,1.40E+09,1.45E+09,1.45E+09,1.46E+09,1.51E+09,1.51E+09,1.52E+09,1.53E+09,1.54E+09,1.54E+09,1.57E+09,1.59E+09,1.61E+09,1.62E+09,1.64E+09,1.65E+09,1.65E+09,1.66E+09,1.66E+09,1.65E+09,1.65E+09,1.66E+09,1.65E+09,1.58E+09
89,1.03E+09,1.09E+09,1.08E+09,1.20E+09,1.42E+09,1.51E+09,1.51E+09,1.40E+09,1.34E+09,1.41E+09,1.42E+09,1.43E+09,1.46E+09,1.33E+09,1.17E+09,1.10E+09,1.15E+09,1.19E+09,1.29E+09,1.34E+09,1.26E+09,1.21E+09,1.24E+09,1.26E+09,1.30E+09,1.38E+09,1.40E+09,1.36E+09,1.29E+09,1.24E+09,1.15E+09,1.15E+09,1.08E+09
90,2.21E+09,2.26E+09,2.16E+09,2.07E+09,2.01E+09,1.93E+09,1.96E+09,1.84E+09,1.84E+09,1.92E+09,2.02E+09,2.01E+09,2.05E+09,2.13E+09,2.13E+09,2.17E+09,2.22E+09,2.27E+09,2.33E+09,2.48E+09,2.51E+09,2.57E+09,2.59E+09,2.66E+09,2.69E+09,2.70E+09,2.71E+09,2.71E+09,2.66E+09,2.64E+09,2.62E+09,2.58E+09,2.45E+09
84,8.56E+09,8.64E+09,8.51E+09,8.70E+09,8.63E+09,8.54E+09,8.55E+09,8.37E+09,8.29E+09,8.25E+09,8.38E+09,8.48E+09,8.50E+09,8.75E+09,8.80E+09,8.83E+09,8.83E+09,8.87E+09,8.91E+09,9.07E+09,9.08E+09,9.12E+09,9.15E+09,8.90E+09,8.91E+09,9.01E+09,9.18E+09,9.24E+09,9.34E+09,9.34E+09,9.33E+09,9.30E+09,9.13E+09
93,2614876.693,2861465.011,3530364.251,3273226.077,707774.647,809408.8188,1146402.549,716103.1464,622705.9389,722534.0822,865766.6711,788849.0657,948691.9845,813433.0278,713239.3164,479034.6396,80143.8457,73521.05811,26764.4165,167052.7354,167059.5322,106932.8618,33427.11865,447689.5933,26736.39941,26703.95654,120305.792,53423.62354,13383.62402,60183.80908,153558.9746,325056.7429,391851.3474
83,8.06E+09,8.78E+09,8.63E+09,8.98E+09,8.43E+09,8.47E+09,8.51E+09,8.68E+09,8.97E+09,9.16E+09,9.42E+09,9.37E+09,9.45E+09,9.41E+09,9.18E+09,9.12E+09,8.52E+09,8.17E+09,8.05E+09,8.19E+09,8.16E+09,8.31E+09,8.28E+09,8.09E+09,8.10E+09,7.94E+09,7.72E+09,7.08E+09,7.14E+09,7.07E+09,6.92E+09,6.90E+09,7.04E+09
97,6.63E+09,6.73E+09,6.74E+09,6.85E+09,6.77E+09,6.71E+09,6.26E+09,6.50E+09,6.42E+09,6.61E+09,6.82E+09,7.10E+09,7.19E+09,7.32E+09,7.43E+09,7.83E+09,8.52E+09,8.58E+09,8.62E+09,8.69E+09,8.69E+09,8.68E+09,8.68E+09,8.46E+09,8.53E+09,8.57E+09,8.57E+09,8.29E+09,8.31E+09,8.28E+09,8.31E+09,8.19E+09,7.57E+09
