GA_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
73,86771.73501,86720.05332,86768.50376,86685.95713,86683.82282,86786.55529,86749.57898,86811.28255,86778.7879,86719.77403,86736.63842,86769.2277,86810.07043,86752.48296,86806.70766,86778.21064,86793.76758,86739.67888,86763.67283,86745.43781,86769.06582,86769.49702,86770.44694,86796.54186,86795.67753,86750.46911,86790.81451,86783.19289,86721.62081,86743.72646,86816.12405,86694.56032,86725.35533,86808.73125,86814.57043,86818.94309,86867.12891,86819.43547,86844.36367
79,80482.95282,80458.62434,80503.49717,80403.86218,80417.84644,80496.26924,80501.59631,80363.76406,80373.61468,80490.64311,80492.80474,80509.04432,80523.48169,80499.79608,80532.32518,80492.61582,80535.42158,80523.28009,80516.55929,80318.97237,80365.80448,80367.19282,80356.65769,80394.16295,80361.27067,80381.62422,80381.10972,80373.78814,80329.64096,80353.75565,80366.37143,80271.05591,80354.47276,80391.03864,80409.13822,80411.39777,80451.905,80399.71888,80418.60003
80,87044.22032,87003.27831,87060.72144,86974.21242,86966.98049,87053.88925,87047.49986,87075.21438,87049.14568,87016.89446,87025.03695,87053.77605,87086.2662,87038.99407,87074.57827,87053.61895,87067.88942,87032.95786,87046.42782,87004.90568,87040.27642,87032.11031,87041.7343,87069.40095,87048.0506,87033.93916,87051.48004,87062.15048,86994.0374,87023.15246,87070.24948,86962.08078,86996.38171,87074.56429,87079.34114,87080.81378,87129.28532,87081.96748,87101.33256
71,89234.25911,89173.43264,89224.15324,89142.59828,89143.89007,89250.74454,89188.97493,89329.77209,89286.64291,89167.78093,89199.50894,89223.93244,89274.42409,89202.82123,89261.15087,89241.90443,89260.92477,89172.37212,89205.4015,89259.84496,89276.16046,89281.90271,89288.5412,89299.83291,89318.88092,89243.88693,89298.57012,89285.12783,89219.55732,89234.31744,89345.55547,89212.06393,89217.61325,89311.21832,89337.4657,89328.33444,89374.78652,89330.81938,89352.27976
81,86159.94449,86111.08389,86160.9323,86077.73276,86074.51625,86174.52275,86148.74312,86200.35619,86170.75857,86119.86636,86128.14968,86160.84125,86195.66695,86147.93389,86194.45592,86165.86929,86182.23801,86139.09926,86158.03825,86134.56475,86161.77738,86159.40763,86162.49809,86189.67654,86181.51072,86149.30661,86180.16864,86177.68853,86114.86312,86139.18613,86203.1808,86086.4373,86122.72217,86201.95185,86203.0222,86208.58415,86258.33167,86210.49469,86233.85654
78,92404.74017,92358.31161,92421.89613,92344.38456,92324.25873,92402.2983,92401.48601,92476.90171,92437.86297,92366.29797,92372.94011,92408.28682,92451.6989,92378.02819,92418.07498,92407.76285,92411.67626,92369.10364,92382.75451,92397.43174,92434.08235,92405.01049,92437.5021,92458.49188,92435.20859,92407.43992,92429.57544,92461.17165,92380.11047,92411.03345,92470.34547,92357.25079,92360.47337,92458.77381,92461.23268,92454.30808,92509.93934,92465.64094,92484.86117
88,86024.39614,85985.66474,86039.00471,85953.05678,85948.27412,86033.35317,86008.57659,85874.99075,85896.37928,86002.01494,86010.36635,86036.64299,86065.12748,86024.05769,86055.7481,86033.25594,86055.76027,86023.51315,86034.55337,85811.84645,85848.7323,85840.1708,85846.06897,85873.47988,85852.58113,85843.93496,85857.53702,85864.06033,85801.7364,85826.96699,85872.28593,85767.2173,85807.68794,85880.99729,85886.8726,85888.13407,85934.12122,85889.04355,85907.22023
77,88662.68806,88604.30211,88653.65465,88573.74131,88573.50488,88677.45999,88615.80386,88696.36127,88666.62053,88598.11232,88626.381,88652.81353,88701.20749,88633.86431,88691.2782,88670.75662,88687.65111,88607.97364,88638.91015,88627.64673,88645.36029,88649.53096,88654.49267,88668.32287,88684.29833,88616.52841,88668.22277,88655.55748,88592.72761,88607.68264,88707.98153,88578.81212,88592.10254,88681.44551,88701.75441,88697.41066,88742.60254,88700.26844,88721.82226
85,86809.69275,86763.49848,86802.58896,86715.2499,86719.35069,86824.02357,86777.18644,86936.60727,86900.4595,86761.51238,86786.28902,86809.12916,86849.0445,86794.44512,86833.16741,86815.51725,86853.79392,86768.89303,86798.30389,86871.16075,86889.81272,86899.69984,86903.24249,86908.81945,86927.39589,86861.99346,86915.80274,86893.44288,86834.2576,86840.64534,86954.57562,86820.11837,86836.258,86931.41032,86952.72808,86941.83772,86992.55923,86945.37907,86971.60903
72,84878.59475,84838.29375,84876.82589,84778.86085,84787.20064,84896.60464,84842.13749,84921.22148,84909.64708,84833.91226,84859.88452,84880.05145,84920.70755,84866.20244,84906.65928,84882.85657,84928.096,84849.00525,84877.09245,84860.11826,84881.20115,84896.04365,84890.67901,84906.38287,84921.89607,84862.29276,84917.88735,84887.58021,84829.95457,84834.07667,84947.57232,84807.83639,84834.20746,84928.80096,84951.27873,84939.2276,84995.72658,84939.15594,84965.71295
