GA_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
73,7.17E-06,2.55E-06,7.82E-06,2.01E-05,4.43E-05,3.53E-06,2.62E-05,1.84E-05,5.79E-06,1.14E-05,8.18E-06,2.90E-05,4.30E-06,3.84E-05,7.93E-05,2.21E-05,4.00E-05,1.05E-04,2.92E-06,4.96E-06,2.13E-05,2.22E-05,7.10E-06,7.48E-06,2.84E-06,4.04E-06,7.10E-06,8.22E-06,4.48E-05,6.66E-06,2.72E-06,2.53E-05,1.06E-05,3.13E-06,4.40E-06,3.97E-05,3.33E-06,1.78E-05,7.69E-06
79,0.004151838,0.002034046,0.003463873,0.002824172,0.002286352,0.001900598,0.002555202,0.003179075,0.002574828,0.002432869,0.001621384,0.00261979,0.002983454,0.002043825,0.001840191,0.00194515,0.001212707,0.002872754,0.00221384,0.002277739,0.001810671,0.001731509,0.002912501,0.00153928,0.002523823,0.001933011,0.002280767,0.001020053,0.001754001,0.002101818,0.002590769,0.001983727,0.001730328,0.001914262,0.001547112,0.001300075,0.001679539,0.002201624,0.002190278
80,1.65E-04,8.20E-05,1.95E-04,2.93E-04,3.81E-04,2.45E-04,5.96E-05,2.27E-04,1.60E-04,2.28E-04,1.91E-04,3.10E-04,2.56E-04,1.87E-04,1.21E-04,2.11E-04,1.49E-04,9.16E-05,4.51E-05,5.92E-05,8.98E-05,1.11E-04,2.54E-04,1.90E-04,1.02E-04,9.46E-05,4.52E-05,3.07E-05,4.90E-05,1.21E-04,8.71E-05,9.26E-05,1.33E-04,5.79E-05,3.10E-05,3.59E-05,2.57E-05,9.11E-05,4.20E-05
71,3.54E-06,1.66E-06,8.03E-06,8.57E-06,5.51E-06,1.68E-06,6.03E-06,3.89E-06,7.44E-06,3.00E-06,2.34E-06,4.15E-06,3.48E-06,1.12E-05,1.72E-05,2.23E-05,3.99E-05,4.49E-06,1.63E-06,2.50E-06,1.08E-05,6.02E-06,5.98E-06,1.18E-05,3.40E-06,4.47E-06,3.88E-06,1.59E-05,2.21E-06,2.48E-06,1.34E-06,4.71E-06,2.45E-06,1.81E-06,2.51E-06,2.91E-06,1.91E-06,2.60E-05,1.65E-06
81,2.03E-05,6.74E-06,1.45E-05,5.05E-05,7.65E-05,6.05E-05,1.64E-05,2.36E-05,3.23E-05,2.12E-05,9.19E-06,2.14E-05,1.24E-05,3.17E-05,1.22E-04,3.21E-05,2.55E-05,2.97E-05,8.89E-06,1.26E-05,9.63E-05,4.29E-05,2.45E-05,3.32E-05,1.74E-05,1.97E-05,2.31E-05,1.75E-05,3.17E-05,1.66E-05,1.23E-05,2.69E-05,4.12E-05,1.52E-05,1.03E-05,2.23E-05,1.47E-05,1.72E-05,3.79E-05
78,0.001341166,7.39E-04,0.001481015,0.001168483,7.02E-04,3.91E-04,4.77E-04,9.95E-04,8.15E-04,8.53E-04,4.30E-04,7.92E-04,9.61E-04,5.51E-04,2.65E-04,3.72E-04,2.91E-04,6.22E-04,5.13E-04,4.77E-04,4.66E-04,3.44E-04,7.22E-04,3.40E-04,4.72E-04,4.11E-04,5.44E-04,2.02E-04,3.13E-04,5.96E-04,6.76E-04,5.21E-04,3.47E-04,2.94E-04,2.35E-04,1.83E-04,2.48E-04,3.84E-04,4.11E-04
88,3.44E-04,2.37E-04,4.84E-04,4.69E-04,5.43E-04,2.61E-04,7.98E-05,5.31E-04,2.68E-04,2.67E-04,2.85E-04,3.98E-04,3.57E-04,2.71E-04,1.24E-04,2.09E-04,1.53E-04,1.64E-04,1.37E-04,2.10E-04,1.98E-04,1.76E-04,4.20E-04,2.60E-04,1.42E-04,1.53E-04,9.32E-05,6.62E-05,9.26E-05,2.16E-04,1.99E-04,2.79E-04,2.32E-04,9.48E-05,5.53E-05,8.37E-05,4.54E-05,9.80E-05,3.98E-05
77,3.75E-06,5.17E-06,6.52E-06,1.55E-05,1.19E-05,3.28E-06,4.97E-06,6.17E-06,4.31E-06,9.56E-06,2.84E-06,6.36E-06,3.71E-06,3.56E-05,1.84E-05,1.41E-05,1.27E-05,1.39E-05,5.17E-06,7.89E-06,8.31E-06,8.03E-06,8.93E-06,6.41E-06,8.16E-06,4.77E-06,5.40E-06,2.15E-05,7.02E-06,4.61E-06,2.77E-06,5.91E-06,6.32E-06,3.23E-06,2.97E-06,4.87E-06,2.42E-06,1.94E-05,3.13E-06
85,8.98E-06,7.42E-06,1.30E-05,7.61E-06,1.07E-05,5.32E-06,1.44E-05,9.83E-06,2.25E-05,2.78E-05,7.63E-06,7.87E-06,1.14E-05,2.57E-05,3.80E-05,3.72E-05,6.65E-05,7.77E-06,3.44E-06,9.36E-06,6.44E-06,1.40E-05,2.39E-05,1.34E-05,8.12E-06,8.49E-06,1.43E-05,2.97E-05,2.99E-06,7.27E-06,3.81E-06,2.47E-05,8.76E-06,3.02E-06,4.67E-06,1.37E-05,5.25E-06,3.07E-05,5.17E-06
72,1.57E-05,6.33E-06,1.21E-05,6.00E-06,9.52E-06,5.78E-06,9.40E-06,8.37E-06,1.24E-05,8.59E-06,1.18E-05,7.96E-06,8.98E-06,8.42E-06,1.36E-05,1.13E-05,2.46E-05,5.81E-06,3.05E-06,7.74E-06,4.88E-06,6.16E-06,1.66E-05,7.10E-06,1.18E-05,1.14E-05,8.87E-06,1.79E-05,3.92E-06,6.59E-06,4.85E-06,6.74E-06,5.11E-06,3.74E-06,5.14E-06,5.82E-06,7.65E-06,9.25E-06,4.11E-06
82,5.82E-06,6.49E-06,9.83E-06,2.24E-05,3.17E-05,4.03E-06,7.39E-06,9.24E-06,4.79E-06,1.52E-05,4.75E-06,1.78E-05,4.31E-06,4.00E-05,4.13E-05,1.77E-05,2.50E-05,6.36E-05,7.38E-06,7.93E-06,9.32E-06,1.57E-05,7.90E-06,1.61E-05,6.36E-06,7.14E-06,5.16E-06,2.81E-05,9.28E-06,7.56E-06,2.99E-06,2.09E-05,1.82E-05,3.97E-06,3.57E-06,8.89E-06,3.40E-06,2.31E-05,6.44E-06
87,1.65E-05,6.28E-06,9.28E-06,5.83E-05,3.17E-05,2.80E-05,1.18E-05,3.26E-05,1.79E-05,1.64E-05,6.01E-06,2.31E-05,8.67E-06,8.64E-06,1.41E-04,3.39E-05,2.80E-05,4.29E-05,9.10E-06,1.82E-05,5.51E-05,4.27E-05,1.86E-05,2.85E-05,1.24E-05,2.76E-05,2.40E-05,2.26E-05,4.48E-05,1.15E-05,1.13E-05,2.92E-05,1.72E-05,6.25E-06,6.58E-06,3.96E-05,9.87E-06,2.70E-05,7.33E-05
89,8.91E-06,8.77E-06,1.06E-05,1.33E-05,2.81E-05,3.39E-06,8.56E-06,1.06E-05,7.03E-06,3.42E-05,4.59E-06,3.68E-05,6.17E-06,5.21E-05,3.41E-05,3.00E-05,7.31E-05,7.12E-05,1.06E-05,7.19E-06,1.14E-05,2.56E-05,1.71E-05,1.74E-05,6.59E-06,1.05E-05,5.88E-06,5.04E-05,1.22E-05,7.44E-06,3.58E-06,3.49E-05,2.22E-05,4.22E-06,3.96E-06,1.52E-05,3.62E-06,7.27E-05,4.79E-06
90,6.99E-06,7.99E-06,7.83E-06,4.60E-05,2.06E-05,1.40E-05,1.73E-05,3.01E-05,1.42E-05,1.35E-05,7.38E-06,1.86E-05,8.75E-06,9.22E-06,7.59E-05,2.33E-05,2.83E-05,3.23E-05,7.74E-06,1.36E-05,2.30E-05,1.92E-05,1.52E-05,2.03E-05,1.34E-05,9.77E-06,1.04E-05,1.63E-05,4.06E-05,1.05E-05,7.87E-06,3.01E-05,1.31E-05,7.27E-06,6.39E-06,2.98E-05,9.87E-06,2.23E-05,5.06E-05
84,5.75E-06,6.41E-06,1.21E-05,2.69E-05,4.06E-05,7.13E-06,2.80E-05,2.30E-05,9.47E-06,1.68E-05,1.14E-05,2.68E-05,5.91E-06,4.31E-05,1.12E-04,2.97E-05,5.70E-05,9.87E-05,5.74E-06,1.10E-05,2.47E-05,2.20E-05,1.35E-05,2.80E-05,8.15E-06,7.72E-06,9.79E-06,2.20E-05,3.27E-05,1.60E-05,4.70E-06,4.17E-05,2.09E-05,6.02E-06,5.10E-06,2.71E-05,6.62E-06,3.08E-05,1.65E-05
