GA_ID,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,910144.1679,1232485.213,614961.9278,1276113.392,2360984.969,1258445.507,968165.6385,2089562.828,2386591.634,2645938.571,1940380.51,2583755.497,1563594.113,1681253.791,1618571.239,2656329.395,4219304.272,3472632.954,3266894.441,3448845.706,3778972.275,2259502.773,2648632.148,1255266.839,182470.8721,102886.3532,211087.1813,339473.8047,977222.2559,1548359.097,1464951.407,1942363.306,4638780.812
80,4.23E+08,8.14E+08,5.98E+08,7.85E+08,9.34E+08,7.18E+08,4.83E+08,7.08E+08,7.20E+08,7.17E+08,4.36E+08,5.10E+08,4.32E+08,4.42E+08,3.73E+08,4.42E+08,3.79E+08,4.47E+08,5.92E+08,6.26E+08,6.29E+08,5.49E+08,3.41E+08,2.17E+08,1.59E+08,1.34E+08,1.37E+08,2.90E+08,6.09E+08,6.17E+08,5.52E+08,5.37E+08,1.07E+08
71,0,0,0,30408.22412,63910.83925,27362.54531,286499.3699,475701.8511,439014.9141,524218.2617,566875.5096,262160.2119,207378.8384,116029.167,18318.63525,24445.44678,49285.72852,0,0,0,0,0,0,0,0,0,0,0,0,0,547428.7261,760363.4429,663057.5288
81,0,0,0,32040.58285,6406.840332,0,0,0,0,0,0,0,0,0,0,0,0,6404.169922,0,0,0,0,0,0,44827.82129,32033.37305,102487.1924,256237.2983,96093.4082,57653.95703,32016.45654,19200.24414,19200.24414
78,1.16E+08,1.23E+08,1.09E+08,1.10E+08,1.16E+08,9.91E+07,9.24E+07,8.57E+07,8.64E+07,8.28E+07,5.96E+07,6.80E+07,9.56E+07,1.18E+08,1.11E+08,1.25E+08,1.22E+08,1.06E+08,1.12E+08,1.19E+08,1.32E+08,1.64E+08,1.60E+08,1.81E+08,1.86E+08,1.70E+08,1.19E+08,1.37E+08,1.11E+08,7.59E+07,5.98E+07,4.95E+07,3.36E+07
88,2.32E+08,2.40E+08,2.19E+08,2.60E+08,3.78E+08,3.06E+08,2.55E+08,3.34E+08,3.75E+08,4.81E+08,3.35E+08,3.42E+08,4.10E+08,4.15E+08,3.51E+08,5.57E+08,7.10E+08,5.37E+08,6.43E+08,6.21E+08,5.09E+08,3.74E+08,1.25E+08,3.63E+07,1.01E+07,7664393.418,1.35E+07,6.56E+07,2.10E+08,2.48E+08,2.35E+08,1.83E+08,1.46E+08
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12340.51172,0,0,0,0,0,0,0,0,0,0,0,6136.828613,0,0,0,0
85,48604.16895,109334.354,85050.3291,133691.0171,72894.24951,163938.5239,303753.3105,589491.1123,376874.835,692785.1816,346400.478,474021.4502,158021.5186,133693.6851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6086.643066,6086.643066,12166.23975
72,140449.0039,207382.7622,164800.7939,4239461.152,3855032.363,4079126.444,5810761.16,9962084.057,5018713.235,5185592.629,4817363.072,3129513.881,2366155.515,2299972.683,115451.0381,79045.29688,24291.26172,6085.976074,12172.02637,6086.050293,6086.050293,0,0,0,0,0,0,0,0,0,6051.896484,6051.896484,6051.896484
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2605789.677,5795007.01,6555884.046,8719395.946,5711105.85,2168936.387,1951326.173,2261690.946,2736809.737,3120965.959,3627944.779,3159956.542,2019967.195,504053.8617,65180.00153,35286.33195,63664.30401,67490.93329,47562.47942,59040.93446,47535.36613,18386.66846,0,61096.89795,24472.77588,6139.099121,0,29132.85783,94312.34667,79741.48993,163273.9434,147969.8156,257295.5558
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,6290.757324,0,6252.104004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,3.53E+08,3.49E+08,2.88E+08,2.26E+08,2.01E+08,1.57E+08,1.27E+08,1.49E+08,1.56E+08,1.89E+08,1.36E+08,1.02E+08,1.29E+08,1.35E+08,1.24E+08,1.39E+08,1.61E+08,1.60E+08,1.75E+08,1.89E+08,1.99E+08,2.31E+08,1.81E+08,2.01E+08,1.89E+08,1.50E+08,9.82E+07,1.35E+08,9.90E+07,8.36E+07,6.35E+07,6.08E+07,1.23E+07
