GA_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
73,282.9645123,283.4575949,282.6451643,281.7064514,281.9272685,282.100351,283.4220903,282.4775115,282.945716,283.3573113,283.6936006,282.4900818,282.3415383,282.6300407,282.0428868,281.8343048,283.2734908,283.4246401,284.2054312,283.1244069,283.3147492,282.6745725,282.8134597,282.8104366,283.3730278,283.996276,283.697651,282.7106359,283.08255,282.6686133,282.8819706,282.5235846,283.380861,283.76936,283.7337097,282.9938535,284.1962598,283.4044084,283.1868496
79,281.6696541,281.5396511,281.3019681,281.3602953,281.7614814,281.4316322,282.0693623,281.4638833,281.8780157,282.3123249,282.1965622,281.5852752,281.7779129,282.3068418,282.3512565,281.6080136,282.2455844,282.6790686,282.3515963,282.2344778,282.3672291,282.7356122,282.131127,282.1241255,282.2935675,282.7634029,282.4708332,282.2000244,282.5690371,282.2169386,281.637142,281.9056237,282.7406713,282.2592682,282.394664,282.6037827,282.4018257,282.5579834,282.1470536
80,283.3067017,283.2943841,282.7071272,282.5705791,282.6561123,282.8839478,283.8098256,283.0447741,283.1312498,283.4966046,283.6243478,282.9103914,282.8512674,283.3020921,283.8812209,282.9011342,284.133751,284.2908068,284.4472099,284.0784594,284.028492,284.102103,283.6180734,283.8346757,283.9417234,284.3876907,284.3688233,283.9749594,284.4558975,283.7720649,283.5845616,283.5372355,284.5643385,284.076962,284.2721482,284.6548981,284.5771519,284.5193622,284.2126816
71,282.8049815,283.1896723,282.4831149,281.5422097,281.6485608,282.411355,283.0082254,282.3492952,283.1496875,283.3319468,283.324508,282.732076,282.6779643,282.680124,281.7679824,281.7639048,283.2097382,283.6702314,284.2708197,283.0290261,283.4721949,283.3205623,282.7662417,282.698949,283.2608119,284.0072674,283.8620992,282.6707286,283.4355847,282.9741609,283.0563492,282.4558204,283.4594997,284.0805929,283.7811333,283.2880594,284.6452285,283.6138507,283.5272936
81,282.7147479,283.1406975,282.371528,281.8115702,281.6407138,281.4544918,283.2564483,282.2343498,282.4444505,282.8569728,283.629315,282.3277715,282.2756001,282.5422454,282.2729093,281.677071,283.2494805,283.3084764,284.1040519,283.10739,283.1533666,282.6638233,282.4558548,282.6492966,283.2368377,283.8800624,283.6533706,282.8074664,283.2658527,282.5525311,282.6110734,282.169147,283.2902908,283.2106593,283.5475842,283.0969984,283.8271666,283.3698773,283.0014538
78,284.6541085,284.5891574,284.2205139,284.1771244,284.3875886,284.5754357,285.0254679,284.4627706,284.6650665,285.0015813,285.2093586,284.572718,284.3615002,285.1045111,285.5446479,284.6739034,285.5286672,285.6447563,285.5769318,285.2208724,285.3278047,285.7981357,285.0723418,285.3808974,285.4352085,285.9665286,285.6393198,285.3137474,285.6484043,285.0875141,284.8753214,284.9784943,286.1468978,285.7311596,285.5881802,286.187625,285.8946031,285.687538,285.4329537
88,282.7597996,282.7708894,282.2421725,282.1582745,282.2208687,282.3534416,283.0829522,282.4142954,282.5596266,283.0329121,283.0296877,282.3594851,282.3750524,282.8357105,283.435107,282.4465079,283.686894,283.6709038,283.7213753,283.31442,283.3489862,283.4802547,282.9702511,283.2859671,283.3899042,283.8223475,283.8191342,283.2631498,283.9084847,283.2964687,282.9748118,282.9194588,284.0511913,283.5232011,283.5658179,283.8874475,283.8625445,283.8220673,283.6269494
77,282.4993692,282.8025265,282.1134913,281.1698441,281.2590745,281.9803343,282.8456681,282.0465027,282.7499033,282.9884508,283.2011646,282.1975605,282.4514769,282.0202505,281.3357813,281.2444437,282.5426943,283.1445309,283.8643465,282.7091886,283.0804209,282.8871598,282.3602454,282.4769123,283.1671159,283.4371217,283.2722982,282.2672185,282.9933192,282.6037585,282.8383698,281.8384995,282.8503289,283.5013417,283.3069058,282.752304,284.1073213,282.9534957,283.1512322
85,279.5208729,280.0380522,279.3113367,278.4690795,278.7903565,279.5313891,280.1157767,279.1589921,280.2378611,279.9601999,280.2306961,279.7563456,279.7594935,279.8195702,279.0507383,278.6815963,279.9064132,280.5552022,281.2482343,279.9561826,280.3416216,280.4219745,279.7173369,279.7981625,280.5689041,281.1692926,281.2519298,279.8615162,280.752736,280.0252332,280.2545224,279.1780011,280.3685161,281.1695359,280.9321376,280.4731064,281.8018524,280.728208,280.5296825
72,278.8764026,279.7050358,278.8028717,278.014141,278.2601911,278.9398396,279.5948024,278.7827729,279.534439,279.6395014,279.609482,279.2564848,279.1170508,279.3684622,278.5132592,278.3008578,279.5918002,280.0755442,280.5636734,279.4143823,279.7901442,280.0919134,279.1808725,279.2997183,279.7472934,280.5893702,280.535653,279.2558747,280.1479307,279.488566,279.4513591,278.7111899,279.9692313,280.4071917,280.1638608,279.7180556,280.7503113,279.9543111,280.0393971
82,281.9468945,282.2949549,281.6183723,280.5908578,280.94606,281.4978142,282.5114882,281.5607977,282.3044178,282.5325985,282.8416617,281.7914961,281.8511363,281.7151343,280.9394937,280.7694693,282.1383406,282.5838499,283.4021311,282.1950045,282.4795759,282.3315545,281.9022319,281.9690047,282.6348179,283.0832383,282.8374346,281.7930869,282.5191328,282.1283906,282.2806059,281.2549166,282.1486449,282.9129247,282.8932136,282.3277561,283.58479,282.4336221,282.4428005
87,281.9563852,282.4189742,281.6961218,280.76267,280.9385277,280.9532501,282.6394574,281.3069213,281.671787,282.1056448,283.0488607,281.7097521,281.7316082,281.9663111,281.4882771,280.9978452,282.5376169,282.4479708,283.4282781,282.3393419,282.5180133,281.8488602,281.56975,281.946479,282.298884,283.1122153,282.8314743,281.9088048,282.3916999,281.6898222,281.9322019,281.0964073,282.4830516,282.8676511,283.0893169,282.1930502,282.9702359,282.2929715,281.980387
89,281.7055288,281.7784169,281.2966782,280.2617521,280.6417045,281.4042843,282.1586229,281.310726,282.2993777,282.0619205,282.4227391,281.4731261,281.5996763,281.688707,280.6321897,280.6772032,281.83031,282.377166,283.2664673,281.7576165,282.366976,282.0720527,281.4810453,281.672508,282.4321443,282.9805474,282.8833609,281.6596092,282.3930148,281.9504101,282.1344414,281.0298721,282.0839683,283.0599636,282.9297124,282.4772307,283.8538068,282.6149366,282.4026849
90,281.1320657,281.4605106,280.7464879,279.7146059,280.0771577,280.2352082,281.554736,280.205926,280.8758261,281.2395591,282.2062961,281.0518195,280.9729205,281.0821759,280.5333876,279.9163462,281.3666865,281.5520859,282.8948721,281.8015231,281.8196777,281.0647884,280.7761996,281.048085,281.3670034,282.3434452,282.0307451,280.9953637,281.4264402,280.9361995,281.2741572,280.3296435,281.2900512,281.8762694,282.1482226,281.2727459,282.1356448,281.3138284,281.0051613
84,281.6371963,282.0648482,281.3035029,280.2669577,280.6852189,280.8772905,282.0973808,280.9939563,281.6592651,281.9686728,282.4789768,281.4531619,281.3800892,281.5209928,280.7400515,280.49213,281.9664597,282.1769578,283.105389,281.9354204,282.0968962,281.6438029,281.459853,281.5731938,281.9675623,282.7627889,282.4677958,281.45254,282.0088371,281.5476979,281.7359936,280.9737442,281.9028117,282.4624349,282.5957897,281.8734836,282.9407099,282.0186295,281.8006785
93,286.0602037,285.9505736,285.5252925,285.4573062,285.7089912,285.889956,286.3787376,285.9019902,286.0433109,286.4287413,286.7417798,286.0929633,285.7003179,286.5471247,286.9703652,286.0020992,287.1341829,287.2253287,287.1701996,286.7438476,286.8573166,287.4422955,286.5720155,286.7642633,286.8750822,287.5519016,287.2528303,286.7068791,287.2090212,286.6950991,286.4088333,286.3956415,287.8330716,287.3632031,287.0262746,287.6938693,287.3830574,287.3516398,287.1096951
83,282.2564945,282.4602019,281.8672021,281.4944655,281.43227,281.3442036,282.6678151,281.8833565,281.936522,282.2928257,282.7386782,281.8695754,281.7218377,282.1453363,282.3582934,281.5740037,282.7915703,283.0001814,283.5584099,282.8818619,282.8501891,282.6116164,282.2690434,282.3840163,282.7510772,283.2183899,283.2999238,282.6255001,283.1262986,282.4302355,282.1654955,282.1728845,282.9457902,282.6704466,283.1079341,283.0065652,283.3247475,283.0458534,282.7720741
97,277.7661589,278.1773291,277.5754918,276.7800285,277.0171019,277.6301665,278.774701,277.6004228,278.5755057,278.4553392,278.5383161,278.0951136,278.1714847,278.445072,277.7780879,277.187468,278.1736104,278.9676874,279.5698966,278.1926648,278.5893015,278.8512445,278.3710733,278.1294682,278.4949441,279.2986463,279.7900823,278.3422735,279.119574,278.4188074,278.3244059,277.686579,279.1273032,279.4665612,279.1199986,278.8009758,280.1074742,279.0567858,278.746704
95,283.0903412,283.0707672,282.6551362,282.5478328,282.6362092,282.7337603,283.3236713,282.7857773,282.9368269,283.4189867,283.30786,282.6455632,282.7525151,283.2994789,283.8196286,282.8061053,284.0506152,283.9639836,283.9759446,283.5917257,283.7145308,283.9961459,283.3676609,283.6662745,283.7156047,284.2817882,284.1857829,283.6223608,284.255985,283.7810014,283.3532665,283.2759042,284.3891303,283.8765428,283.8709039,284.2702586,284.2348195,284.2676325,284.0511026
94,282.7312445,282.7216341,282.1503351,281.981143,282.1742072,282.1451094,283.135412,282.4526297,282.609711,282.9258445,283.0233575,282.3496291,282.278527,282.7109584,283.2049664,282.3153451,283.6122346,283.6612539,283.9647194,283.6198303,283.407449,283.5496463,283.0590081,283.1367425,283.4450641,283.8009793,283.8270366,283.2940877,283.9028551,283.308517,282.9254578,282.8062025,283.9626195,283.3763571,283.6951822,283.8222111,283.9083459,283.8501562,283.713347
92,282.6098406,282.9737154,282.2733577,281.4828997,281.5012697,281.5366579,283.181334,282.0734412,282.3927587,282.7419083,283.5903115,282.4247736,282.2711224,282.5533952,282.2735422,281.6682862,283.1892031,283.277745,284.2241604,283.1979638,283.2877219,282.6243792,282.3185223,282.7226604,283.1272807,283.8143512,283.5729769,282.6786252,283.1617649,282.4470543,282.4708699,281.8935581,282.9744712,283.4164742,283.7706759,282.9812897,283.6271646,283.1576043,282.9944792
98,280.4950613,280.834708,280.1429276,279.1650316,279.5577206,280.0540931,281.0971363,279.8888158,280.768822,280.9400731,281.5818397,280.6034958,280.529447,280.8614579,279.9466441,279.5959352,280.9023349,281.2011281,282.375203,281.3097159,281.329299,280.9768205,280.4249547,280.7174545,281.0527381,281.9291369,281.7350756,280.6219908,281.2680395,280.8290484,280.7385636,280.032086,280.8503771,281.5346367,281.6970452,281.0668072,281.8884398,281.0941716,280.9865175
99,283.2019645,283.4112611,282.7457624,282.3562868,282.4672126,282.3916536,283.80456,282.8571458,283.11583,283.317854,283.6638971,282.8267468,282.697321,283.2869609,283.4416403,282.6019497,284.0505357,284.1988988,284.9852966,283.9783849,283.9589771,283.7527413,283.2643049,283.6306581,284.0677895,284.501451,284.3791243,283.6046688,284.2656166,283.4806995,283.214123,282.921798,283.9784906,283.9142165,284.3454287,283.9979055,284.3410028,284.2281885,284.1610595
101,284.1610983,284.1393068,283.5497452,283.4040495,283.5287065,283.8031167,284.4552946,283.873231,284.0237279,284.5122696,284.4421692,283.7286779,283.7267468,284.3562466,284.9807667,283.8740772,285.2466652,285.0566726,285.283948,284.8890414,284.8896396,285.2847965,284.4776141,284.64268,284.9647184,285.5610259,285.3955063,284.8908812,285.5309381,284.9779191,284.5470543,284.4790063,285.6754336,285.193466,285.1934582,285.5847049,285.5533418,285.6049332,285.5352275
100,279.6835195,279.8389449,279.2937648,278.348524,278.7522132,279.4386141,280.5801241,279.3952365,280.3419064,280.1491384,280.4501875,279.7004272,279.6716834,280.0759681,279.2224179,278.8908316,279.8384914,280.5391467,281.465965,280.0791679,280.5083825,280.4884997,279.9345144,279.7542212,280.4762996,281.1876371,281.4629333,280.0284498,280.7292915,280.2013675,280.2343701,279.4190493,280.5143014,281.1996986,281.1130842,280.7502022,282.0804816,280.8167144,280.4839077
91,282.7612872,282.8469773,282.2900966,282.0182832,282.0563248,282.0134291,283.2157985,282.4325121,282.502661,282.7980926,283.0875649,282.3364873,282.2341723,282.7280136,283.0640821,282.1587923,283.4287136,283.6354668,284.2031213,283.5482685,283.4215546,283.2734138,282.8517805,283.0367483,283.3760828,283.6648841,283.8226491,283.2031544,283.7801774,283.1149218,282.7648613,282.7065814,283.6204972,283.2558186,283.7137597,283.6475003,283.8397,283.7129626,283.504418
107,284.0405787,284.1466237,283.4930803,283.1985942,283.3875466,283.2625335,284.4175115,283.6674536,284.0538731,284.1802914,284.2584273,283.6097802,283.5417647,284.1702581,284.308986,283.4910916,284.9909286,285.1619516,285.766525,284.9219876,284.8447055,284.8884411,284.216242,284.4838934,285.0130695,285.436208,285.255585,284.6003142,285.1865794,284.5303036,284.2963719,284.0434115,285.0649281,284.8350448,285.243651,285.0216124,285.2923557,285.4753158,285.424977
106,283.4285624,283.4353486,282.8671647,282.6913362,282.8968227,282.9344538,283.7169604,283.1160875,283.3268666,283.7034739,283.6894637,283.013039,283.0749239,283.5487384,283.917571,282.998222,284.429958,284.377134,284.5992892,284.0692493,284.0288525,284.3066714,283.6048525,283.8771688,284.1610794,284.6622247,284.5982671,284.0929381,284.696293,284.1097159,283.6626542,283.5932844,284.7218622,284.2070743,284.3934536,284.464301,284.6310128,284.7659249,284.7043975
104,281.4126889,281.4741255,280.9009022,279.8793121,280.4584797,281.3101165,282.170302,281.0743325,281.9912729,281.7683236,282.2200837,281.3670003,281.3382392,281.773939,280.7207093,280.4926272,281.6062252,282.1011662,283.272684,282.0309052,282.3024865,281.9804267,281.2099644,281.5283494,282.2125766,282.9365081,282.8373858,281.7340308,282.3205438,281.8732093,281.924469,280.8816777,281.6438327,282.6660068,282.8051135,282.263565,283.0849439,282.2956426,282.131784
102,281.1417635,281.4101485,280.6717793,279.7386534,280.0481428,280.390714,281.6125014,280.3421347,281.0405656,281.3395005,282.1193219,281.2116834,280.9154784,281.3143332,280.7432057,280.1844413,281.5241257,281.8910971,283.1493969,282.0677463,282.1287637,281.3937627,280.9213731,281.3301429,281.6263271,282.679842,282.3355236,281.2570182,281.7377742,281.1763905,281.4074505,280.7061627,281.3037014,282.1223568,282.3704375,281.6492807,282.2604073,281.5258405,281.6276893
96,283.1416069,283.0861072,282.8814856,282.8612184,283.1911533,283.0058855,283.519498,283.1274475,283.3527406,283.8270424,283.7041804,283.1738271,283.2263665,283.7785528,283.9184176,283.0226709,283.9620791,284.3067405,284.0274439,283.7457614,283.8794351,284.3082592,283.6335561,283.7880162,283.8827806,284.4536459,284.270136,283.804482,284.2242423,283.8225778,283.3343073,283.5513997,284.5230836,284.0867914,283.9314883,284.318161,284.1030838,284.2457304,283.8721416
105,286.8043228,286.7358832,286.1509411,285.8838381,286.1709197,286.7893289,287.2734809,286.5970215,286.6660571,287.3401731,287.4980498,286.6576134,286.3525931,287.3017219,288.0804521,286.7323374,288.0838866,287.8364725,288.2296662,287.6233784,287.7374187,288.3506044,287.0775654,287.4973015,287.8795942,288.5410847,288.2957443,287.9333797,288.4295558,287.6888459,287.2959394,287.3526243,289.0262739,288.445172,287.9998413,288.7396836,288.4868754,288.5326574,288.6298483
