GA_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
73,283.1942656,283.8775707,283.0025794,281.8737791,282.4434565,282.5788425,283.8515489,282.6738577,283.2352238,283.6677197,283.8136565,282.5898059,282.7331226,283.2194771,282.4143368,282.3700783,283.6795322,283.7923954,284.4705263,283.4593482,283.6064461,282.8690156,283.1823646,283.2004769,283.8113333,284.5177463,283.8011999,283.1498489,283.5328194,283.1027259,283.5045946,282.8235857,283.9167622,284.0590414,284.1511274,283.4215317,284.4862185,283.6168673,283.7893717,286.3521422
79,281.6521496,281.625539,281.3769398,281.4183356,281.7321487,281.4950591,282.1422554,281.4444887,281.9001227,282.3275658,282.1775067,281.5395971,281.9063237,282.3791631,282.2971381,281.6472743,282.2666957,282.7678246,282.2819842,282.3739776,282.3910676,282.6957285,282.1218761,282.2293956,282.2941486,282.9027834,282.4652731,282.2411469,282.7281099,282.1086736,281.7610665,281.9113467,282.8487486,282.2789986,282.4770232,282.6777647,282.3679299,282.5656162,282.2165109,283.3432412
80,283.4728249,283.5576412,282.8382906,282.7164327,282.8128507,283.072656,283.9862354,283.0440262,283.2619796,283.6299762,283.6596722,283.0001253,283.0917512,283.5189573,284.12699,283.0457288,284.3616726,284.4096137,284.4968559,284.3086891,284.3160131,284.2047149,283.7311149,284.143439,284.1968942,284.70793,284.554436,284.2273388,284.6961933,283.9187904,283.9729422,283.6800555,284.8490346,284.2534055,284.5031865,284.8797593,284.6938986,284.6199171,284.4458802,285.8613752
71,283.07174,283.7892211,282.9006851,281.853404,282.1611597,282.9897138,283.6739531,282.8777919,283.5134728,283.726924,283.5870305,282.9874016,283.0789415,283.3116133,282.2769644,282.4289995,283.6897829,284.200496,284.532096,283.3914288,283.8611544,283.6385161,283.1711245,283.2410496,283.8048026,284.6064239,284.079977,283.107266,283.9600862,283.5485831,283.6114312,282.7485284,284.1143659,284.4360215,284.2268738,283.896375,284.9774108,283.7682381,284.3204964,286.7649402
81,282.8543436,283.6283998,282.7697441,281.9853619,282.139147,281.961378,283.8252933,282.5405113,282.7901022,283.1671998,283.8834294,282.5078362,282.789093,283.0692494,282.7033625,282.2506757,283.7802315,283.6599724,284.3291067,283.4979394,283.536752,282.9721408,282.8679713,283.2548705,283.7762112,284.4087353,283.9863214,283.422034,283.7869772,283.0126356,283.2220433,282.6346369,283.8544355,283.619124,284.1599821,283.6359805,284.1274274,283.7240972,283.4691303,286.1559901
78,284.742939,284.8325486,284.3430924,284.243318,284.4821288,284.6992429,285.1226254,284.5122523,284.7228552,285.0780565,285.261617,284.5707713,284.457539,285.3327213,285.7004249,284.7127686,285.7025476,285.7519705,285.5686379,285.4136036,285.6231653,285.9332893,285.1218569,285.6729179,285.6201782,286.2534058,285.7655347,285.494563,285.8137017,285.1688352,285.124302,285.0743674,286.3692028,285.8348764,285.7591252,286.4394697,285.9621775,285.7674582,285.5737069,286.9265935
88,282.9542738,283.0646529,282.3908664,282.3213005,282.379346,282.5372069,283.2720307,282.4480158,282.6997487,283.1865118,283.0775224,282.4801448,282.6122275,283.055918,283.7022207,282.6024771,283.9321088,283.8040741,283.7666094,283.5655069,283.6431085,283.6214473,283.1083594,283.6072464,283.6822057,284.1621928,284.0242825,283.4723045,284.1750408,283.4730257,283.3541177,283.0671391,284.3574883,283.6968853,283.7876488,284.1174638,284.0003815,283.9319191,283.8779502,285.4518925
77,283.3548184,283.9258746,283.0847054,282.0234933,282.3369057,283.2270452,284.0718555,283.0419971,283.6335318,283.9255793,283.9890959,282.8885965,283.5194796,283.3144339,282.3293256,282.4532227,283.6579466,284.3164056,284.610856,283.5784791,283.9723209,283.6497805,283.2499862,283.5826232,284.2857636,284.6158723,284.0682596,283.1575873,284.0930459,283.7692069,283.9980665,282.7250166,284.0935528,284.50174,284.3739338,284.0437653,285.0459145,283.6579649,284.5666061,287.3193416
85,279.9854221,280.8577476,280.0077084,279.0824908,279.4136007,280.3208494,280.9578824,279.920809,280.8728792,280.4698707,280.7870664,280.1691719,280.3841615,280.7152917,279.7407556,279.5314231,280.6891739,281.2630405,281.7568356,280.5848618,281.0703328,280.8947772,280.1069832,280.6216613,281.1998669,281.9795432,281.695747,280.4017372,281.4605783,280.6653038,281.0587407,279.6975253,281.2770129,281.7551399,281.7345748,281.2718743,282.2242196,281.0747138,281.480158,284.2173198
72,279.4469305,280.568755,279.48598,278.622829,278.841185,279.7523403,280.6095728,279.5883323,280.2403551,280.3066276,280.1749998,279.7937863,279.8459025,280.3610793,279.2531816,279.1797829,280.3647485,280.8920302,281.0845604,280.0128786,280.5451013,280.6946863,279.7372915,280.0973521,280.4707462,281.4854099,281.0087589,279.9033995,280.9448868,280.2784588,280.2246953,279.2374159,280.8904692,281.0492442,280.9876896,280.545772,281.2663877,280.4746314,281.006148,284.0071982
82,282.5046301,283.1127431,282.32999,281.1318241,281.6928558,282.402806,283.297284,282.1693384,282.9270578,283.1621115,283.2868239,282.2322785,282.5999363,282.6684972,281.6287951,281.662193,282.9378411,283.3567518,283.8986006,282.8668225,283.0816836,282.807224,282.4695752,282.8044616,283.392245,283.9255455,283.338133,282.44693,283.3065278,282.9082295,283.1802247,281.8990059,283.0590396,283.6557753,283.7434465,283.2054134,284.1832295,282.9241931,283.5287735,286.2633933
87,282.402829,283.1341596,282.3833128,281.1554508,281.6943179,281.6552864,283.3910594,281.7436435,282.1829618,282.579166,283.4433626,282.0295409,282.4513545,282.7626594,282.0972761,281.8335199,283.2907954,282.9618299,283.8095419,282.9163164,283.0941274,282.3643363,282.118926,282.7906953,283.0079326,283.8767773,283.3092487,282.6560206,283.1402114,282.4099872,282.7262336,281.7734785,283.3294526,283.4728234,283.8843335,282.9121635,283.4987366,282.8086348,282.7579362,285.9123547
89,282.0707016,282.5573594,281.965043,280.7393131,281.2941627,282.1357638,282.8987443,281.8766683,282.7649475,282.4825561,282.8293243,281.7264158,282.2250136,282.4379966,281.2884791,281.511502,282.4433013,282.9393528,283.6917468,282.4102174,282.9715689,282.3998827,281.8336315,282.4155121,283.0260107,283.6728554,283.3041133,282.1895903,283.0478364,282.6212329,282.8970873,281.4854315,282.8871954,283.6299322,283.6516359,283.2060451,284.2679971,282.8595927,283.3181119,285.9404706
90,282.137271,282.6707451,281.9715411,280.5657959,281.3677033,281.4940921,282.7611744,281.0789367,281.8240214,282.0771218,282.9888988,281.6467121,282.139092,282.4023522,281.6085622,281.2657283,282.6961242,282.4621298,283.6214868,282.7263797,282.7495233,281.9235093,281.6397925,282.3805012,282.5918259,283.6153098,282.8122503,282.1803676,282.6685837,282.2266658,282.6033266,281.4081157,282.6752278,283.0556022,283.4886155,282.4344323,283.1281325,282.2166221,282.342707,285.9844419
84,282.1038074,282.7161536,281.8912144,280.6597246,281.3375821,281.5766615,282.7121032,281.4290205,282.1562555,282.4342535,282.7928389,281.7676457,281.9642426,282.3027629,281.3019695,281.2558676,282.6308594,282.7153873,283.4936911,282.4631669,282.580912,282.0267493,281.8981676,282.2508307,282.5871009,283.4904926,282.8160592,282.062863,282.6591392,282.1904837,282.5376913,281.490521,282.6777128,283.0079045,283.3224677,282.5166099,283.4126681,282.4317823,282.6441729,285.4803428
93,286.1564212,286.2168589,285.6568383,285.5356223,285.8279573,286.0452984,286.5077015,285.9508222,286.1207722,286.4979786,286.8168138,286.0821946,285.8048379,286.8044324,287.1469624,286.0455833,287.3879829,287.3357325,287.1538447,286.940311,287.1309677,287.6124874,286.6458372,287.092571,287.0709602,287.8730298,287.3869375,286.8673047,287.3504675,286.8220991,286.6481539,286.5317857,288.0628442,287.4011011,287.2176572,287.9459273,287.3947459,287.4425815,287.2416238,288.4499232
83,282.3933282,282.7494942,282.0749423,281.5995291,281.6999939,281.5892171,282.9766506,282.0147276,282.1416991,282.440802,282.8327411,281.9733138,282.0183949,282.440843,282.65607,281.8735485,283.0573482,283.1840878,283.6755454,283.1208236,283.1152012,282.7666387,282.4417454,282.7325303,283.0733134,283.5699462,283.5132734,283.0171145,283.4498498,282.641636,282.6201943,282.3893849,283.3184468,282.9081565,283.4639683,283.3202991,283.5028773,283.2586561,283.112631,284.9367032
97,278.3329832,278.9377628,278.2763501,277.3761147,277.5942694,278.4876872,279.5680933,278.2377447,279.2884939,278.9236753,279.06317,278.5217538,278.703322,279.2885683,278.4024575,277.9317966,278.9139994,279.5579459,280.0805775,278.8265207,279.3520072,279.3706837,278.6494445,278.8640137,279.1178447,280.1405104,280.3128127,278.867053,279.7926564,279.1245374,279.1535611,278.3411524,279.7715389,280.0719295,279.9562767,279.5813375,280.5483958,279.47688,279.6192811,282.292955
95,283.2554898,283.3347567,282.7823233,282.6935332,282.7385697,282.8995957,283.4845533,282.8167876,283.0197972,283.5624328,283.3362669,282.7368294,282.9612875,283.5018352,284.0503826,282.924268,284.2825029,284.0637128,283.9954825,283.8178686,283.9801011,284.1417737,283.4528339,283.9621247,283.9804305,284.6095355,284.3579436,283.7730074,284.499205,283.966936,283.670917,283.4005946,284.6578974,284.0122832,284.0550947,284.472449,284.3491775,284.3615243,284.275771,285.7488362
94,282.9243872,283.0213432,282.2936183,282.1593989,282.3060923,282.3474806,283.3509066,282.4705796,282.7620893,283.0580557,283.0596558,282.44927,282.5282879,282.9366332,283.4731562,282.4994756,283.8693296,283.7999233,284.0436167,283.8741067,283.6838627,283.7191993,283.1728045,283.4512762,283.7498097,284.1286914,284.0334942,283.5231861,284.1684474,283.512737,283.3012752,282.9577553,284.2681645,283.5551029,283.9739733,284.0429776,284.0611785,283.9558793,284.0164441,285.3996196
92,282.9812875,283.6915441,282.9637631,281.9363756,282.2830507,282.3376397,283.9459285,282.5458725,282.8656267,283.1806915,284.0036652,282.7088697,283.0297288,283.3488758,282.9311881,282.5220819,283.9808479,283.8012998,284.6450555,283.7957645,283.8337616,283.0992299,282.8577093,283.6037582,283.8964016,284.5684858,284.0584277,283.4850502,283.9112121,283.1742834,283.3522033,282.5609764,283.8539111,284.1243092,284.5347562,283.7039746,284.1666711,283.7140907,283.7663059,286.7454725
98,281.2205016,281.7837107,281.0336683,279.796441,280.458551,281.0292973,281.9381027,280.5192106,281.5418194,281.4718262,282.0822505,281.0721546,281.3258115,281.8783295,280.7453529,280.5780337,281.8171394,281.8849332,282.9344013,282.0673999,282.0963177,281.5338127,280.9234661,281.6690753,281.8878702,282.8827037,282.2993293,281.4316832,282.178049,281.8122539,281.8404527,280.8014863,281.8782194,282.4079733,282.7173948,281.9370041,282.6152037,281.7706968,282.0271363,285.0098702
99,283.3389458,283.791788,283.041316,282.562675,282.8257244,282.7341674,284.1534463,283.0257007,283.3379577,283.5154478,283.8008952,283.0157763,283.0987828,283.6864856,283.8071703,282.9698299,284.4201035,284.4584199,285.1623606,284.2677978,284.3001395,284.0216667,283.4879326,284.0817161,284.4281804,284.913914,284.6553667,284.0060719,284.6549087,283.8134063,283.6794283,283.1897634,284.4209195,284.2279407,284.7774632,284.3745853,284.626519,284.5076342,284.5870001,286.6496128
101,284.3394106,284.4448632,283.6797691,283.5645292,283.6923406,284.0008434,284.6186933,283.9071729,284.1292489,284.6682931,284.4717719,283.8281401,283.9688385,284.5798708,285.2061626,283.9638013,285.541887,285.1386461,285.3317708,285.1261127,285.1983708,285.4937731,284.5780341,284.9519156,285.2649042,285.9167099,285.5566649,285.0591948,285.7460979,285.1927458,284.8842209,284.6442307,285.9239097,285.3251954,285.4343777,285.7920136,285.6776087,285.7351734,285.7466435,287.0138682
100,280.1547908,280.5449058,279.9684817,278.8304096,279.3269955,280.1882417,281.2196847,279.916845,280.8946621,280.4710802,280.8532191,279.9589727,280.1935559,280.8439448,279.8064083,279.5988376,280.4435854,281.0123531,281.8710921,280.6794415,281.1364413,280.851536,280.0851643,280.443513,280.9847581,281.9034239,281.8650314,280.4670742,281.3461389,280.8205933,281.0217259,279.9489652,281.0932268,281.7245168,281.875496,281.4545937,282.4229404,281.0996991,281.2883387,283.9474426
91,282.8928709,283.1102045,282.4628312,282.1483052,282.2430282,282.2131821,283.4537335,282.4978388,282.6678777,282.9002676,283.1338917,282.4227812,282.4869658,282.9686891,283.3333801,282.3915024,283.6615398,283.7884414,284.2944967,283.7580491,283.6748722,283.4186887,282.9906186,283.3388694,283.6536035,283.965144,284.0213951,283.5010999,284.0537116,283.3124491,283.1517365,282.8642848,283.9587825,283.4464705,284.0211121,283.8949932,284.0090556,283.8796715,283.8137074,285.3669026
107,284.156405,284.4852637,283.6982254,283.3588545,283.6431694,283.498397,284.6703115,283.7357552,284.2281278,284.321566,284.3124692,283.7707996,283.8741574,284.4613053,284.5718478,283.7347245,285.2884528,285.3447205,285.8907463,285.1352171,285.1421089,285.1235696,284.349781,284.8247258,285.3229711,285.76489,285.450773,284.8854452,285.4826525,284.7875742,284.6501714,284.223766,285.3815791,285.0345629,285.5793575,285.2754067,285.5029155,285.6728135,285.7181683,287.2674141
106,283.6143093,283.755538,283.0080122,282.8725193,283.0564474,283.1524049,283.9144071,283.1525891,283.4615607,283.8569828,283.7225218,283.1339794,283.3474967,283.7755593,284.1499475,283.1528576,284.7174521,284.5051926,284.6499386,284.3120826,284.3107957,284.5231148,283.7193174,284.1963859,284.4704948,285.0113375,284.7855232,284.2942341,284.9484716,284.3166557,283.994853,283.7607454,284.9820715,284.3438111,284.6803117,284.6830522,284.7949182,284.9092739,284.9806734,286.2313099
104,281.9611715,282.4060665,281.7131972,280.4108251,281.2350317,282.1119389,282.9330437,281.5915104,282.6079806,282.1795434,282.630351,281.7657551,282.0877119,282.6670425,281.4542578,281.3713572,282.3289008,282.6961557,283.7227832,282.74212,283.0322234,282.4743199,281.5328218,282.3813269,282.9333908,283.704593,283.3484054,282.3567708,283.0970839,282.7781483,282.9520195,281.4400383,282.5375638,283.4113803,283.711837,283.0740088,283.6968582,282.7951463,283.0306986,286.0583872
102,282.0190085,282.5805995,281.8624435,280.5652948,281.3167347,281.6715784,282.7159836,281.2202561,281.9560864,282.0647169,282.7927208,281.8314128,282.0340167,282.5649155,281.796483,281.4477051,282.740647,282.7521359,283.8471267,283.0310232,283.0272087,282.2045555,281.6932471,282.6054072,282.7984053,283.9163062,283.0281194,282.3811334,282.930147,282.3889345,282.7909308,281.6896043,282.5974928,283.3311659,283.6137923,282.7257372,283.1786201,282.4156164,282.9719742,286.2660999
96,283.1293951,283.2143855,282.9566798,282.9164461,283.1798442,283.0723293,283.618456,283.1015756,283.3748473,283.8533623,283.6819977,283.1316166,283.3560566,283.8742776,283.9335767,283.0639639,284.0579265,284.3970692,283.9483059,283.8657896,283.9949405,284.2874572,283.6367955,283.9575148,283.9095031,284.6283445,284.3150823,283.8458345,284.3819966,283.7865337,283.4853342,283.5805875,284.6575904,284.1134242,284.0233029,284.4416554,284.0602689,284.2572327,283.9735803,285.1736769
105,286.9389657,287.087029,286.3094834,286.0363933,286.4390821,287.0301069,287.4496188,286.6781538,286.7865172,287.5052208,287.5601162,286.6919063,286.5720448,287.610434,288.3134044,286.7271134,288.458168,287.9216211,288.2644046,287.8320278,288.0632955,288.6202344,287.1849764,287.8953391,288.1702596,288.9043908,288.4262804,288.13903,288.5557953,287.9004501,287.5696932,287.6087473,289.279024,288.4737369,288.2513529,289.016997,288.5344881,288.7603627,288.7630092,289.8468162
109,282.0392787,282.4984544,281.8320678,280.7884258,281.4070844,281.8777498,282.8153762,281.5667134,282.4821655,282.2630296,282.5355359,281.9963018,282.1067435,282.8771932,281.9225711,281.6931312,282.8748816,283.0417191,283.8542068,283.1771955,283.2622457,282.7256281,281.8715749,282.7396314,283.1440003,284.0848669,283.3129805,282.624531,283.2738017,282.6307757,282.8340974,282.0248412,282.8417331,283.4321606,283.6442512,282.9449315,283.480118,282.8082761,283.3262895,286.1782936
103,283.0511213,283.6603806,282.8685938,281.930846,282.4675035,282.5927317,283.9092844,282.5147427,283.1043623,283.2577031,283.7674761,282.8503684,282.9125754,283.5708247,283.1791028,282.678933,284.1555302,284.1423358,285.0915603,284.1249148,284.0975837,283.558917,282.9830017,283.883001,284.2063812,285.01091,284.207042,283.6069108,284.1917604,283.2583949,283.5360361,282.7024826,283.795705,284.3841239,284.7396647,283.9300185,284.3439813,283.8069789,284.2641315,287.2449344
