GA_ID,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
73,270.1623034,266.5972053,276.8775225,237.5112585,237.4166842,255.2880898,303.7997964,492.2530905,523.6512294,200.8665364,215.5878222,281.9940375,256.9189877,244.8859955,279.2346719,340.8969678,315.0094948,295.3166986,301.3721524,347.6015749,328.71008,277.8953698,269.4227535,277.7175137,271.6711065,256.6360281,264.4069308,272.3693745,252.4622717,285.2200795,253.8675443,261.4316997,257.7045355,261.4753202,256.4154089,247.6142945,261.4604943,265.8711608,273.8990766,265.1540098,275.0059098,272.8777158,275.0852903,282.3159178,264.7178991,272.4188508,281.2917024,249.5832442,278.7833022,254.8169107,271.4448712,273.9686899,296.189505,250.3191036,269.2150559,276.2751831,251.6512859,261.0838932,269.9555586,242.9457336,257.7428563,228.0047173
79,212.6023802,231.2576639,221.8375505,218.5286832,214.0614706,218.2589158,219.56077,289.1763395,304.2497277,196.7512286,208.6241964,230.6140753,219.8995391,218.5211488,218.519183,248.2460087,239.0277601,240.5274214,235.0313629,236.5908711,232.4894804,278.8738644,275.7397925,273.2383614,271.3134497,271.7880007,271.8823817,272.6487023,276.260161,284.6648702,269.7853343,269.026133,276.8688436,268.156851,275.4347804,274.5417497,277.0917311,274.8634676,276.2694852,274.4727646,275.7248399,273.711986,276.071356,279.6202482,280.4500186,280.1948684,277.2306609,269.0022613,273.4493379,272.2026153,274.937935,274.3426144,282.8867217,271.6072714,270.5603283,274.6204043,271.78471,271.9066153,277.3319154,273.7096682,230.7662244,251.1555958
80,233.272418,225.8648838,222.7314464,208.9643461,193.5685298,203.9282238,190.1044251,364.8573978,369.2406194,157.4432272,177.8666724,202.3288554,196.7222749,190.7331936,206.010164,254.2352612,237.9863333,226.1433232,220.9317393,238.5129329,234.1710791,216.1280009,204.8656612,208.6694687,202.76668,202.4013046,199.7528472,205.1224028,203.0711244,223.2902551,194.2998296,198.9596975,199.2826594,200.3984394,206.3273458,197.9679,208.5240442,212.1049048,209.6674095,211.3951163,206.5952942,209.0925297,210.5989526,222.5608913,207.0620333,210.3096763,215.2608549,194.8197501,210.1222344,202.6342118,209.9882091,206.2190766,226.8839178,198.1152289,206.8017205,202.4136586,197.0554886,203.4031338,210.4933268,193.8937667,198.328251,183.5609041
71,290.9170853,279.1468796,294.4217534,272.7674109,308.8707839,311.0055393,362.3213187,485.3581259,530.4177796,250.5129749,283.1009648,333.6639906,307.4374115,295.1515956,351.1021486,394.4656538,370.3934057,370.7657557,354.1632666,407.0167354,376.2035289,325.780098,305.1445726,312.2757613,296.3972765,286.3422181,304.4294065,294.9421408,287.9300135,324.5751725,298.8776863,294.1043224,295.4161135,292.2388057,282.3444228,280.7014824,284.3032384,303.5554619,316.4798258,300.0455144,306.1229383,298.1540674,302.6908182,309.846994,300.4759405,299.3567694,313.1971342,283.8733,309.4250098,285.8056739,305.520508,322.5675049,334.5017648,276.9417573,292.0450728,303.9656629,279.3349631,289.6447586,296.3560854,275.1429228,269.2282452,267.2883951
81,264.434468,263.8428579,268.332597,235.3009232,209.9296515,236.4588696,234.6080672,481.3846099,488.2199028,173.0889969,192.4169783,248.5772879,220.9208855,217.4398918,243.702787,308.2049635,281.5415288,261.1508152,273.9319958,299.3981855,285.1232924,256.6026319,249.2156588,251.3980097,246.2834672,240.059204,239.777178,250.1947689,230.3154424,266.3227739,222.1305092,236.6446282,234.2621309,241.3559289,233.089461,228.0395024,244.5278116,246.0387792,247.3712461,244.8483811,249.6070814,252.1839063,249.7668093,265.1955121,238.8736709,248.6977468,256.7262605,228.9403228,260.3604423,233.3904579,247.3629682,243.2114114,271.6954053,230.8008507,246.2939279,248.9233914,228.3556321,241.449635,251.2240703,220.8798499,232.9240501,204.584923
78,146.887978,158.0103866,149.873211,145.5589739,142.2461606,144.5015814,144.5967264,229.1193107,244.2283178,118.7073524,130.5189966,155.8028363,148.6339656,143.7410745,148.8727544,178.5187683,168.2687836,165.9473643,160.4038879,164.4099051,165.1760072,186.8806284,180.3181139,179.9109967,177.4317049,177.9585658,177.8463501,179.7312123,184.0789501,192.9484504,175.4520228,175.6830691,181.8222397,175.2297111,185.3453678,179.0435345,184.2571282,183.9412599,183.3317699,184.5953083,182.2826263,181.3211481,184.4031048,188.9862859,187.1313313,186.6252158,186.4312676,174.7690534,180.8656829,179.7985791,182.8785129,181.9097238,191.539767,177.8252906,179.7070784,180.1109262,179.1884747,179.3970087,184.6003307,178.4497316,152.578975,157.1490536
88,237.0439342,234.7141743,233.9965759,217.8480349,208.713475,210.9888855,197.8754535,344.8403519,351.2391231,176.8681189,207.8009715,217.715044,214.6680851,206.9871299,219.0813613,255.0896999,243.2568655,233.7707509,231.7487869,246.0630814,240.4012783,237.5165691,225.3612733,230.477761,222.5416113,222.2778728,219.5072264,226.1428948,224.4299075,242.7785347,216.766324,218.810858,222.6401078,218.7842904,228.400808,219.0747881,230.2956786,233.6606509,231.5585811,233.1248227,227.7083352,228.4142678,230.5405027,240.5635678,230.8265648,231.1775958,236.7528032,217.3354348,230.0688408,223.368267,230.8577658,226.3163524,244.6398888,219.8641499,228.2261933,225.4397194,218.8284287,223.8319672,229.9191874,215.525561,219.090969,202.9679716
77,284.0108993,276.1878652,290.422925,258.9572602,284.9804962,298.1138322,348.1695827,491.0553154,534.5823782,238.7013528,261.3822912,323.5027765,297.2378261,284.2959754,334.7613392,381.6182145,358.2458059,345.3646792,337.0361749,396.2143649,369.3891735,313.8792444,294.948094,304.4957894,290.6810738,277.8595997,295.3207708,289.5908937,276.065707,315.237356,286.5607144,284.83635,284.025225,284.9396338,276.7453789,269.6841267,277.1683525,294.7911231,305.6489145,290.2718177,298.8532367,291.5420536,296.1355042,303.1966996,290.5624653,292.9663757,304.1192408,274.0903525,300.7521108,276.5433631,295.8408226,307.4558548,323.426268,269.1891638,287.1885282,296.8149373,270.9171949,279.3622387,287.5099257,264.0076062,270.0395398,257.581837
85,329.7204869,313.1926365,330.9625714,308.5250145,339.8206855,348.1447233,387.3210613,500.9120876,535.8052382,290.9810315,327.4996858,376.3754626,349.6865447,339.1945613,409.4711864,425.1020003,402.0686439,405.5639543,391.0518812,435.0276878,404.7740719,358.1677357,334.6000723,347.5224234,323.3034397,317.8992977,337.8190923,322.3999987,315.9237722,356.8287416,327.9389827,320.7597061,324.8281289,320.3084009,311.2974616,308.2878265,311.913935,334.9429712,346.7649816,330.7289567,333.9487899,324.8143159,328.2796568,334.5653106,326.3417652,326.4809367,339.3041676,316.4682131,337.8493949,313.9999384,334.3570973,353.6201777,360.185111,309.1272817,320.0692992,336.1156934,305.4056516,316.7312573,322.6640897,303.7093723,292.3705851,297.5217744
72,358.423018,343.4957667,364.2404326,346.7651533,375.1552412,377.6747487,415.8172892,524.6763241,571.5763366,319.403705,355.9154649,398.1547285,373.3780207,356.578321,423.4229198,449.6865951,426.1285534,430.6224547,414.291983,464.9907362,435.4303483,393.2813184,369.3006359,377.938474,357.9914043,349.7708211,368.1944244,354.9232552,352.6240583,391.401497,362.3176182,355.9254769,360.8182918,353.8283201,344.4778745,343.9993701,346.0455491,367.2738599,381.0079575,364.1749251,367.9927351,359.4842331,361.5596161,369.0653557,361.9558317,360.7284026,375.8920495,348.1206494,372.9449735,349.1085295,369.1433658,388.7170008,397.5297649,338.2083761,352.2760197,367.2909095,341.6994568,353.5050587,359.3126441,337.6919746,325.2673513,321.9449353
