GA_ID,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,272.9202988,272.2495146,272.0929232,270.7455506,268.8773075,264.0179394,262.3282301,258.6113166,258.5923367,261.0104646,267.4934416,271.6206662,272.3118779,272.9633349,271.4323077,269.0839071,267.090273,262.3239561,263.5763279,260.3938286,258.4812405,260.3364467,267.4981994,271.8719986,272.50276,272.319288,271.2906371,269.4500689,267.2831373,261.5442241,256.6712407,256.6176153,257.7485546
2,244.1379713,236.1029971,230.5586699,225.1811936,222.5225829,217.7816147,224.5868643,223.0037982,221.5483037,223.3414236,237.6108211,243.864056,245.7202352,239.0187114,228.9060459,224.8757859,220.4387435,218.3698209,226.1193799,222.0503625,221.0040949,224.8964099,237.849824,246.1143135,244.3686486,236.1153201,225.9108089,221.4877273,224.8282591,220.6498406,219.4806134,218.5561503,219.4062021
3,296.5134959,297.1467284,296.7380714,296.1194733,295.4645147,295.4955458,295.1113727,295.3959549,295.469747,295.6110931,294.9827452,295.4683131,296.1716033,296.933985,296.0930351,296.0814042,295.640657,295.6106592,294.9927948,295.172395,295.2178609,295.4928178,295.4475107,295.8375535,295.9628944,296.6385348,296.6737319,295.9943492,295.574889,295.4703478,295.23859,295.2624106,295.5424446
4,298.3235186,300.2742194,302.4014813,303.312332,302.313715,301.101796,299.1962079,299.5077596,300.3011145,300.5279826,299.4426766,298.4329438,298.513167,299.5079041,301.8700679,303.0335898,302.6280076,301.7616719,299.4989611,299.9332227,299.6138256,300.7194104,299.1223867,299.6461534,299.5602749,298.4002051,302.020475,303.0369491,302.1836162,301.705103,300.2824072,299.5080405,299.8174511
5,287.9446401,289.2909457,295.3281747,299.4792277,303.7779081,304.4187796,304.3950508,303.8863787,301.7358525,299.748567,293.7086985,289.3465298,285.9412095,289.1997847,294.502444,299.17045,302.4263959,304.6033331,304.3651087,304.2321061,301.9575865,300.2559651,290.8683809,289.7321049,289.5730185,288.0626083,292.7640398,299.548795,301.323325,303.6576743,303.6469885,303.7864599,302.4549724
6,288.7497656,289.7996479,293.012471,296.2132168,299.3098473,301.1798595,301.6984207,301.3882175,299.4879767,297.2856596,293.8817778,289.9075158,288.5553902,289.7865559,292.6173923,296.0515991,298.487703,301.1618168,301.5301862,301.4458963,299.9029681,297.4546672,292.1866919,290.2976174,289.3334798,288.5869547,291.3950266,295.967637,297.6841165,300.789813,300.9570035,301.0668576,299.8781411
7,276.0863541,277.4891483,280.0300863,283.8631064,288.7903727,293.6179846,297.003474,296.3416903,292.0344818,289.1680476,284.673589,280.5989933,278.6109199,278.6447227,281.7712791,284.2687016,287.8667812,294.2116092,296.3790433,296.328222,293.7123609,290.7163548,282.1928741,282.2999367,278.1299585,276.2771508,279.2939055,284.6813555,288.8109742,293.2802087,294.7984585,295.8108967,294.2400849
8,265.0460983,267.2255489,268.9727717,279.0395711,282.514322,290.1459003,291.0504263,289.4066582,285.4946609,280.6803698,273.2648856,271.1803907,268.8279582,269.4641048,272.0545334,277.2040417,286.4619025,290.7916379,292.3251289,289.8936499,285.8772939,281.9796265,274.3965295,270.2077682,266.4107138,267.5890716,273.9187857,278.3923131,285.5492354,287.6536512,290.9763186,290.8325067,286.7513326
9,254.3374272,255.4657984,257.7290594,261.0722322,267.9866631,273.4535309,274.4838028,274.0093846,271.4938679,262.6575885,252.9879105,250.8126994,248.3298644,257.4011739,251.8924846,257.8700768,267.1287478,272.7660801,274.53451,274.4105581,271.3628889,267.8236875,263.0016917,254.2054652,250.8561301,252.6262305,260.6133769,258.4506935,266.6770638,272.5937465,274.1877846,273.2598571,268.4124038
10,295.4238092,295.997773,295.4896724,295.2659592,294.9934206,293.657083,293.8689674,295.2921939,296.7293547,297.0019169,296.1916092,295.3171891,295.6195934,295.6591584,295.6264238,295.370692,294.5856027,293.6170058,293.2357361,295.0512173,296.2886788,296.8802332,297.0900902,295.8110694,295.7653359,295.7439741,295.8700998,295.3747087,294.5750964,294.3561396,293.8715041,295.067739,296.4370347
