GA_ID,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,93826.88203,93897.99733,93900.57462,93777.58485,93688.93045,93616.68112,93546.81831,93581.29512,93496.36207,93512.95068,93562.83398,93663.79883,93827.47018,93827.82128,93789.45649,93737.57317,93649.40166,93594.76772,93621.38097,93503.28862,93429.50922,93460.59592,93560.68909,93653.24051,93846.13233,93843.4702,93859.92729,93782.39535
2,87835.84193,87859.94412,87869.82062,87862.54273,87909.68038,87915.78404,87914.17637,87945.98093,87880.0602,87804.33286,87800.40926,87786.84164,87829.54878,87798.59482,87791.913,87827.9797,87890.68406,87919.05307,87984.56658,87901.72291,87847.7907,87818.00902,87784.41279,87825.91859,87874.02235,87827.18531,87853.16334,87891.62994
3,100296.3434,100237.6724,100287.1481,100533.3367,100824.3979,101029.7244,101190.0464,101227.5077,101188.0366,100893.5184,100807.681,100586.5101,100332.6918,100155.3954,100195.0313,100441.47,100838.1894,101113.3072,101251.2791,101185.7872,101179.3075,101075.2146,100694.4459,100686.7397,100418.6224,100270.6656,100311.1479,100575.4865
4,94807.47376,94549.24744,94713.68246,95214.63587,95612.3306,95937.89304,95973.67738,95871.08577,95834.0925,95558.03099,95362.88387,95242.63268,94844.67794,94493.39146,94664.50908,95168.06142,95664.61618,95905.99356,96051.04227,95960.73022,95804.84024,95658.81911,95428.82922,95324.39435,94936.91553,94644.77591,94706.61691,95203.52798
5,87740.34995,87626.58308,87707.97821,88054.31452,88267.65018,88395.21861,88280.2338,88147.72253,88097.9862,87935.6272,87906.90777,87952.90443,87787.04716,87583.54488,87715.4367,88190.24594,88468.58375,88281.81637,88316.28497,88197.88493,88044.82101,88004.3626,88037.90323,88216.29785,87844.04556,87581.40832,87683.12982,88196.62076
6,99137.97007,99093.30964,99147.35876,99568.69254,99912.75591,99540.85295,99446.61719,99579.90925,99821.95342,99417.89984,99379.81008,99701.20463,99491.23796,99274.15248,99274.0069,99762.17994,99896.25514,99557.56642,99205.43096,99584.85975,100241.8185,99943.32926,99296.62245,99885.97266,99259.3418,99161.16554,99312.71873,99833.83203
7,99214.23399,99331.51594,99214.74098,99356.29175,99059.88565,98610.78667,98020.35604,98345.26713,99803.57364,98796.34074,98976.10012,99746.9101,99238.91004,99244.74225,99223.83473,99541.43314,98907.63836,98989.08274,98593.88989,98799.3405,99569.93694,99286.91856,98710.51435,99442.87765,99039.08474,99430.56758,99154.47253,99087.44134
8,101264.4491,101459.8023,101418.2037,100874.0065,100300.2345,100347.0215,99348.94286,99482.38319,100921.6686,100643.8752,100742.009,101679.1722,100992.8611,101127.0127,101239.769,101295.7769,100744.4041,100507.2413,100704.4716,100332.5401,100478.6677,100827.4999,100289.7978,101471.0663,101029.1658,100972.9931,100997.3179,100267.5955
9,101092.4229,101421.7047,100978.1971,100898.77,100959.9029,101980.9178,101109.64,100004.6828,101134.7073,102243.4176,101738.8439,101331.1958,101359.2764,100965.5994,101221.8093,101713.885,101972.7296,100884.3743,101794.237,101463.9532,100993.2461,101124.2217,101290.6043,102210.9146,101638.4093,100514.1326,101312.3155,100681.7853
10,101949.5702,102146.2664,102060.6292,101686.1939,101583.5671,101242.1844,101080.3818,101126.9484,100927.087,101125.0729,101289.5839,101583.5307,101896.0903,101942.4611,101850.436,101692.1491,101577.5402,101228.7673,101224.3061,100888.4382,100855.6245,101021.3488,101303.4627,101618.3908,101917.7669,101952.2201,101956.5436,101824.4086
