GA_ID,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,299.3179824,299.6112982,300.0457266,300.4180836,299.602839,298.215376,297.2236077,297.0697641,297.667016,298.0762393,298.5084326,298.8083044,299.105875,299.8806777,299.9959572,300.2769245,299.5476944,298.5878318,297.2264517,296.7909078,297.4753006,298.4606691,299.2284879,299.541164,299.5982813,299.9317043,300.2996769,300.2323137,299.4310685,297.7407052,296.8559418,296.402086,297.0802911
2,300.1412747,301.0956577,302.9625539,304.3113196,303.4019626,301.6953717,299.7062086,298.9648026,300.2402252,300.9065333,300.2332201,297.4662058,297.6618858,301.1035008,302.9027493,303.7953368,302.7212293,302.0169307,299.5757541,299.1903732,299.9005809,301.5260355,299.8531547,298.8196634,297.7258139,300.3006713,302.0955526,303.5278456,302.8876307,301.6053612,300.2099731,299.0983094,300.5418725
3,293.4264831,294.9943887,298.5713771,304.240508,306.6785075,307.7598358,305.957262,305.1399976,305.16341,302.2334955,297.3269003,290.7252721,289.181624,293.8174079,299.0187484,303.6972349,306.5629174,307.2072468,306.0402231,305.7916598,305.0203215,302.3618955,295.0100218,291.9431358,290.6440134,293.3377723,298.1491134,303.1128244,305.6622509,307.5148633,306.8107007,305.3439203,305.36274
4,285.5726137,288.9292612,292.208909,297.5630123,300.3937144,306.5643117,308.4076607,308.2844935,304.3230887,296.9597743,291.0900928,283.9450248,283.523059,286.714882,294.5117255,297.223884,301.6915207,306.7852053,308.918024,306.2701723,304.2227531,299.0556258,290.9791278,287.6886532,285.7792917,288.1190038,292.5724279,295.0774044,300.572064,306.5361486,308.2755505,307.7699804,304.0383004
5,284.840399,285.8357861,285.919951,286.660074,289.2097857,292.7116657,294.5098013,296.9323363,295.6812557,291.7519124,288.2826365,284.6733237,284.1231372,284.0575794,286.5587776,287.8011179,289.6939034,293.52347,294.8878831,296.4217578,295.5520283,292.5861887,289.0668065,287.1686,286.3459375,285.3936178,285.7870945,287.1985553,289.9204997,294.4899541,297.5582709,296.8214123,295.5341295
6,279.3086004,281.3218163,280.2426571,282.5301342,284.5947339,286.7992466,288.0445169,289.4652984,288.7354155,284.9011044,282.205541,281.2924235,280.8487801,279.4124869,282.3866299,282.3653407,284.5666465,286.7816749,288.627485,289.9552674,288.896502,284.4844633,283.6202323,279.6942124,280.6394468,281.2140695,281.1865394,282.8365856,284.7647907,287.9123736,289.6191542,289.4441726,288.5694645
7,276.5923416,277.2513884,277.0683973,279.2893653,281.2606446,284.6304,285.8026878,286.6174336,285.710172,281.5628437,279.0780928,278.158185,276.8143768,276.7241393,277.5744478,278.66825,281.8627397,283.3482747,285.4740075,286.1754133,285.8797234,281.5497105,279.850842,275.2858443,276.2166018,277.7914503,278.2268018,278.9026913,281.2038089,284.0075717,286.3779213,286.6995507,284.8881987
8,272.2677155,271.2639673,272.7520018,273.6591006,275.6645254,277.591528,279.5017892,280.6265907,278.7252277,274.346088,272.5501337,270.656924,269.4124736,271.7542994,270.2509063,272.7754667,275.2260397,276.1522759,279.0041556,279.9400987,278.3646136,275.6770154,273.4654179,270.6152035,268.5083941,272.176843,272.5076276,271.8336903,274.1519947,275.9736982,278.7780365,279.229008,277.0734597
9,297.3349679,298.3721737,299.1444468,299.1284,297.9668279,296.4898314,295.3151633,294.8230218,294.9265337,294.7858972,295.4023648,296.0024234,297.3457415,298.2711263,298.5354488,298.7694793,297.9565534,296.6272262,295.3569469,294.2960196,294.5007631,295.0946791,296.2089927,296.9825755,297.6611305,298.837059,299.1948834,298.7602626,297.8249114,296.2671691,295.1098851,294.0973139,294.0213649
10,294.8908906,295.9189512,296.4249276,296.0161776,294.9061461,293.6711268,292.2810948,292.0429762,291.9685165,291.808409,292.1879338,293.2325681,294.9199717,295.4769089,295.5504789,295.3659028,294.4789274,293.3791942,292.4338968,291.7215931,291.6534266,291.5663495,292.7586112,293.5111741,294.7768626,295.7522082,295.7297043,295.1071649,294.2884229,293.1358925,292.1472543,291.2648796,291.281972
